Município,Evento,Status,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Outros Afetados,Registro
Barão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5742,0,0,0,0,81,0,0,06/05/2024
Barão de Cotegipe,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6529,0,0,0,0,45,0,7099,06/05/2024
Barão do Triunfo,Enxurradas,Reconhecido,7018,0,0,0,0,0,0,5889,08/05/2024
Barra do Guarita,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3089,0,0,0,40,52,0,2997,04/05/2024
Barra do Ribeiro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12568,0,0,0,416,780,0,8200,06/05/2024
Barra do Rio Azul,Tempestade Local/Convectiva - Chuvas Intensas,Registro,2003,0,0,0,0,40,0,1696,17/12/2024
Barra do Rio Azul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2003,0,0,0,420,0,0,1276,03/05/2024
Barra Funda,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2367,0,0,0,0,24,0,2526,03/05/2024
Barracão,Tempestade Local/Convectiva - Chuvas Intensas,Registro,5355,0,0,0,0,0,0,0,22/01/2024
Barros Cassal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,11133,0,0,0,0,0,0,5047,25/06/2024
Barros Cassal,Enxurradas,Registro,11133,0,0,0,0,0,0,0,02/05/2024
Barros Cassal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,11133,0,0,0,0,0,1,5047,05/05/2024
Benjamin Constant do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2307,0,0,0,0,0,0,0,03/05/2024
Bento Gonçalves,Tempestade Local/Convectiva - Granizo,Registro,107341,0,0,0,0,0,0,65,24/06/2024
Bento Gonçalves,Tempestade Local/Convectiva - Chuvas Intensas,Registro,107341,0,0,0,0,0,0,0,24/06/2024
Bento Gonçalves,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,107341,4,64,0,104,600,8,0,03/05/2024
Bento Gonçalves,Tempestade Local/Convectiva - Vendaval,Registro,107341,0,0,0,0,0,0,0,23/01/2024
Boa Vista das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2114,0,0,0,0,0,0,2114,03/05/2024
Boa Vista do Buricí,Tempestade Local/Convectiva - Vendaval,Não reconhecido,6576,0,0,0,0,6,0,6570,02/01/2024
Boa Vista do Cadeado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2441,0,0,0,0,0,0,2226,11/05/2024
Boa Vista do Incra,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2425,0,0,0,0,0,0,486,07/05/2024
Boa Vista do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2778,2,0,0,0,5,0,2772,03/05/2024
Bom Jesus,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,11556,0,0,0,20,25,0,3000,10/05/2024
Bom Jesus,Tempestade Local/Convectiva - Vendaval,Reconhecido,11556,0,0,0,0,0,0,11309,07/05/2024
Bom Princípio,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,11792,1,0,0,171,468,0,63,03/05/2024
Bom Progresso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2328,0,0,0,0,0,0,2328,09/05/2024
Bom Retiro do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,11472,0,0,0,55,1400,0,2500,04/05/2024
Boqueirão do Leão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7673,0,0,0,0,114,0,0,02/05/2024
Boqueirão do Leão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7673,0,0,0,0,32,0,2339,20/02/2024
Bossoroca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6887,0,0,0,0,0,0,6887,17/05/2024
Bozano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2200,0,0,0,0,0,0,2200,10/05/2024
Braga,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3702,0,0,0,0,120,0,3148,07/05/2024
Brochier,Tempestade Local/Convectiva - Vendaval,Registro,4677,0,0,0,0,0,0,0,24/10/2024
Brochier,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4677,0,0,0,3,100,0,4863,06/05/2024
Brochier, Inundações,Registro,4677,0,0,0,0,5,0,0,30/04/2024
Brochier,Tempestade Local/Convectiva - Vendaval,Registro,4677,0,0,0,0,0,0,0,22/03/2024
Butiá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,20405,0,0,0,50,50,0,1000,02/05/2024
Butiá,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,20405,0,0,0,0,0,0,1000,30/04/2024
Cândido Godói,Tempestade Local/Convectiva - Vendaval,Registro,6535,0,0,0,0,0,0,0,26/09/2024
Cândido Godói,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6535,0,0,0,0,0,0,6294,06/05/2024
Caçapava do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,33700,0,0,0,0,0,0,0,02/05/2024
Cacequi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,13685,0,0,0,16,107,0,11034,07/05/2024
Cacequi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,13685,0,0,0,0,0,0,2404,18/04/2024
Cachoeira do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,83827,0,0,0,50,76,2,83701,28/06/2024
Cachoeira do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,83827,0,15,7,372,2446,0,80987,06/05/2024
Cachoeirinha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,118294,0,0,0,1853,3016,0,131389,07/05/2024
Cachoeirinha,Tempestade Local/Convectiva - Vendaval,Reconhecido,118294,1,80,0,160,300,0,135459,21/01/2024
Cacique Doble,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4865,0,0,0,10,10,0,4583,06/05/2024
Cacique Doble,Tempestade Local/Convectiva - Vendaval,Registro,4865,0,0,0,0,0,0,0,04/01/2024
Caiçara,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5071,0,0,0,0,0,0,5071,03/05/2024
Caibaté,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4954,0,0,0,0,0,0,4704,28/05/2024
Camaquã,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,62759,0,0,0,0,60,0,62699,25/09/2024
Camaquã,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,62759,0,0,0,0,0,0,1000,06/05/2024
