Município,Evento,Status,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Outros Afetados,Registro
Eldorado do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,34335,0,0,0,16,160,0,2048,18/01/2024
Encantado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,20514,1,12,0,726,923,2,21298,04/05/2024
Encruzilhada do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,24537,0,0,0,0,15,0,7000,06/05/2024
Engenho Velho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1530,0,0,0,15,15,0,1500,03/05/2024
Engenho Velho,Tempestade Local/Convectiva - Vendaval,Reconhecido,1530,0,0,0,0,0,0,60,21/03/2024
Engenho Velho,Enxurradas,Registro,1530,0,0,0,0,0,0,600,25/01/2024
Entre Rios do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3080,0,0,0,0,12,0,3068,03/05/2024
Entre-Ijuís,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8938,0,0,0,0,60,0,9098,16/05/2024
Erebango,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2970,0,0,0,0,0,0,3054,24/06/2024
Erebango,Tempestade Local/Convectiva - Chuvas Intensas,Registro,2970,0,0,0,0,0,0,3054,06/05/2024
Erechim,Tempestade Local/Convectiva - Vendaval,Registro,96105,0,2,0,0,0,0,0,29/10/2024
Erechim,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,96105,0,2,0,0,52,0,0,03/05/2024
Erechim,Tempestade Local/Convectiva - Chuvas Intensas,Registro,96105,0,0,0,0,0,0,300,16/03/2024
Erechim,Tempestade Local/Convectiva - Vendaval,Registro,96105,0,0,0,0,0,0,0,16/03/2024
Erval Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5167,0,0,0,4,0,0,5163,03/05/2024
Erval Seco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7878,0,0,0,0,0,0,7878,03/05/2024
Esmeralda,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,3169,0,0,0,0,0,0,40,10/05/2024
Esperança do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3272,0,0,0,0,0,0,3272,15/05/2024
Espumoso,Tempestade Local/Convectiva - Granizo,Registro,15240,0,0,0,0,0,0,0,28/09/2024
Espumoso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,15240,0,0,0,48,800,0,14325,03/05/2024
Espumoso,Tempestade Local/Convectiva - Vendaval,Reconhecido,15240,0,0,0,8,8,0,15157,27/03/2024
Estância Velha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,42589,0,0,0,0,0,0,12,09/05/2024
Estância Velha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,42589,0,0,0,0,0,0,0,09/05/2024
Estância Velha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,42589,0,0,0,0,0,0,12,08/05/2024
Estação,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6011,0,0,0,0,0,0,5517,03/05/2024
Esteio, Inundações,Não reconhecido,80669,0,0,0,1061,10000,0,65076,18/05/2024
Esteio,Enxurradas,Reconhecido,80669,0,0,0,419,2000,0,10000,02/05/2024
Esteio,13212 - Tempestade Local/Convectiva - Tempestade de Raios,Registro,80669,0,0,0,0,0,0,0,18/01/2024
Estrela, Inundações,Reconhecido,30628,0,0,0,1100,4000,0,32183,03/05/2024
Estrela,Tempestade Local/Convectiva - Vendaval,Reconhecido,30628,0,0,0,0,0,0,2716,18/01/2024
Estrela Velha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3628,0,0,0,14,32,0,3024,06/05/2024
Eugênio de Castro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2797,0,0,0,0,16,0,0,06/05/2024
Fagundes Varela,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2579,0,0,0,0,5,0,150,04/05/2024
Farroupilha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,63641,0,0,0,0,111,0,0,03/05/2024
Faxinal do Soturno,Tempestade Local/Convectiva - Granizo,Registro,6672,0,0,0,0,0,0,515,26/09/2024
Faxinal do Soturno,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6672,0,0,0,43,320,0,6309,30/04/2024
Faxinal do Soturno,Tempestade Local/Convectiva - Vendaval,Registro,6672,0,0,0,0,0,0,0,22/03/2024
Faxinal do Soturno,Tempestade Local/Convectiva - Chuvas Intensas,Registro,6672,0,0,0,0,0,0,0,28/02/2024
Faxinalzinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2567,0,0,0,0,12,0,2555,03/05/2024
Fazenda Vilanova,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3697,0,0,0,0,0,0,4291,07/05/2024
Feliz,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,12359,0,0,350,0,40,0,4980,19/12/2024
Feliz,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,12359,0,0,350,0,40,0,5370,28/11/2024
Feliz,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12359,0,0,0,80,1200,0,12484,03/05/2024
Feliz,Tempestade Local/Convectiva - Chuvas Intensas,Registro,12359,0,0,0,0,0,0,0,03/05/2024
Flores da Cunha,Tempestade Local/Convectiva - Granizo,Registro,27135,0,0,0,0,0,0,0,25/06/2024
Flores da Cunha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,27135,0,0,0,12,80,0,30800,03/05/2024
Flores da Cunha,Tempestade Local/Convectiva - Granizo,Registro,27135,0,0,0,0,0,0,0,03/01/2024
Floriano Peixoto,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2018,0,0,0,0,0,0,1668,09/05/2024
Fontoura Xavier,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,10712,1,91,62,23,400,0,6731,02/05/2024
Formigueiro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7014,0,0,0,0,9,0,6404,03/05/2024
Forquetinha,Enxurradas,Reconhecido,2473,2,8,0,0,189,0,1023,07/05/2024
Fortaleza dos Valos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4577,0,0,0,0,0,0,4577,06/05/2024
Fortaleza dos Valos,Tempestade Local/Convectiva - Vendaval,Registro,4577,0,0,0,0,0,0,0,02/04/2024
Frederico Westphalen,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,28848,0,0,0,6,22,0,32599,04/05/2024
Frederico Westphalen,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,28848,0,0,0,7,76,0,87,19/03/2024
Garibaldi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,30692,0,0,0,17,0,0,31500,02/05/2024
Garruchos,Tempestade Local/Convectiva - Vendaval,Registro,3233,0,0,0,0,0,0,0,09/10/2024
Garruchos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3233,0,0,0,0,88,0,2600,07/05/2024
Gaurama,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5862,0,0,0,0,0,0,5665,09/05/2024
General Câmara,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8452,1,0,0,400,300,0,0,03/05/2024
Gentil,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1677,0,0,0,0,1,0,1743,04/05/2024
Gentil,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1677,0,0,0,0,1,0,599,17/04/2024
Getúlio Vargas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,16156,0,0,0,0,0,0,16156,15/05/2024
Getúlio Vargas,Alagamentos,Registro,16156,0,0,0,9,0,0,0,10/05/2024
Giruá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,17085,0,0,0,0,0,0,1890,09/05/2024
Glorinha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6885,0,0,0,0,0,0,2000,13/05/2024
Glorinha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,6885,0,0,0,0,0,0,0,29/01/2024
Gramado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,32300,7,2,0,272,900,0,103,05/05/2024
Gramado,Alagamentos,Registro,32300,0,0,0,0,0,0,0,01/04/2024
Gramado dos Loureiros,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2269,0,0,0,10,160,0,2099,06/05/2024
Gramado Xavier,Tempestade Local/Convectiva - Granizo,Registro,3970,0,0,0,0,0,0,0,24/06/2024
Gramado Xavier,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3970,0,0,0,0,12,164,3128,03/05/2024
Gramado Xavier,Enxurradas,Registro,3970,0,0,0,0,0,0,0,02/05/2024
Gravataí,Tempestade Local/Convectiva - Chuvas Intensas,Registro,255762,0,0,0,314,1200,0,8000,18/05/2024
Gravataí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,255762,0,0,0,314,1200,0,8000,30/04/2024
Gravataí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,255762,0,0,0,17,220,0,264837,17/01/2024
Gravataí,Tempestade Local/Convectiva - Chuvas Intensas,Registro,255762,0,0,0,0,1,0,0,15/01/2024
Grupo de municípios,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,12,20,1734,5331,8,38975,04/05/2024
Guaíba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,95230,0,6870,0,13000,40000,0,0,06/05/2024
Guabiju,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1598,0,0,0,0,0,0,1598,06/05/2024
Guaporé,Enxurradas,Registro,22810,0,0,0,77,0,0,22733,20/12/2024
Guaporé,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,22810,0,0,0,77,0,0,22733,23/12/2024
Guaporé,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,22810,0,0,0,7,76,0,25885,02/05/2024
Guarani das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8115,0,0,0,0,0,0,7415,27/05/2024
Guarani das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Registro,8115,0,0,0,0,0,0,7415,14/05/2024
Harmonia, Inundações,Registro,4254,0,0,0,0,0,0,0,12/05/2024
Harmonia,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4254,0,0,0,28,179,0,16,07/05/2024
Herval,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6757,0,0,0,0,0,0,6191,06/05/2024
Herval,Tempestade Local/Convectiva - Vendaval,Registro,6757,0,0,0,0,0,0,19,12/04/2024
Herveiras,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2954,0,0,0,0,40,0,2486,07/05/2024
Horizontina,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,18350,0,0,0,0,31,0,19358,06/05/2024
Horizontina,Tempestade Local/Convectiva - Vendaval,Não reconhecido,18350,0,0,0,0,0,0,18350,05/01/2024
Hulha Negra,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6048,0,0,0,0,0,0,6048,09/10/2024
Hulha Negra,Deslizamentos,Registro,6048,0,0,0,0,0,0,0,22/08/2024
Hulha Negra,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6048,0,0,0,0,0,0,6048,15/05/2024
Hulha Negra,Tempestade Local/Convectiva - Vendaval,Reconhecido,6048,0,0,0,0,0,0,112,27/03/2024
Hulha Negra,Tempestade Local/Convectiva - Vendaval,Reconhecido,6048,0,0,0,0,0,0,76,17/01/2024
Humaitá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4919,0,0,0,0,0,0,4681,07/05/2024
Humaitá,Tempestade Local/Convectiva - Vendaval,Reconhecido,4919,0,0,0,0,4,0,248,05/01/2024
Ibarama,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4371,0,10,0,27,150,0,3549,05/05/2024
Ibiaçá,Tempestade Local/Convectiva - Granizo,Registro,4710,0,0,0,0,0,0,0,07/10/2024
Ibiaçá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4710,0,0,0,0,0,0,2500,05/05/2024
Ibiraiaras,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,7175,0,0,0,0,0,0,7175,08/05/2024
Ibirapuitã,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4061,0,0,0,0,0,0,1670,04/05/2024
Ibirubà,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,19312,0,0,0,0,100,0,0,08/05/2024
Ibirubà,Alagamentos,Registro,19312,0,0,0,0,100,0,0,02/05/2024
Igrejinha,Deslizamentos,Registro,31663,0,0,0,0,0,0,0,23/05/2024
Igrejinha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,31663,0,0,0,500,25000,0,6163,06/05/2024
Igrejinha,Tempestade Local/Convectiva - Vendaval,Registro,31663,0,0,0,0,0,0,0,01/04/2024
Ijuí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,78920,0,0,0,0,0,0,84041,06/05/2024
Ilópolis,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4098,0,0,0,0,32,0,0,03/05/2024
Imigrante,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3025,0,5,5,40,500,20,2455,30/04/2024
Independência,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6618,0,0,0,0,0,0,1800,06/05/2024
Inhacorá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2267,0,0,0,0,0,0,2267,06/05/2024
Inhacorá,Tempestade Local/Convectiva - Vendaval,Reconhecido,2267,0,0,0,0,0,0,2267,03/01/2024
Ipê,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6017,0,0,0,0,78,0,5939,03/05/2024
Ipiranga do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1944,0,0,0,0,0,0,1720,28/06/2024
Iraí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8078,0,0,0,0,92,0,7986,03/05/2024
Itaara,Tempestade Local/Convectiva - Chuvas Intensas,Registro,5011,0,0,0,0,2,0,0,20/11/2024
Itaara,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5011,1,18,0,50,50,0,441,03/05/2024
Itacurubi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3441,0,0,0,0,0,0,2995,17/05/2024
Itacurubi,Tempestade Local/Convectiva - Vendaval,Registro,3441,0,0,0,0,0,0,12,26/07/2024
Itapuca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2337,0,0,0,0,3,0,1515,06/05/2024
Itapuca,Enxurradas,Registro,2337,0,0,0,0,0,0,0,03/05/2024
Itaqui,Tempestade Local/Convectiva - Granizo,Não reconhecido,38166,0,0,0,0,0,0,568,06/08/2024
Itaqui, Inundações,Reconhecido,38166,0,0,0,90,1379,0,0,10/05/2024
Itati,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2589,0,0,0,80,600,0,1602,02/05/2024
Itatiba do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4171,0,0,0,0,0,0,4171,03/05/2024
Ivorá,Tempestade Local/Convectiva - Granizo,Registro,2156,0,0,0,0,0,0,0,30/09/2024
Ivorá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2156,0,1,6,11,23,0,177,03/05/2024
Ivoti,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,19877,0,0,0,55,361,0,300,10/05/2024
Jóia,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8329,0,0,0,0,0,0,8329,06/05/2024
Jaboticaba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4111,0,0,0,0,0,0,4111,03/05/2024
Jacuizinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2507,0,0,0,5,40,0,2000,06/05/2024
Jacutinga,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3630,0,0,0,0,0,0,3630,20/05/2024
Jaguarão,Tempestade Local/Convectiva - Granizo,Reconhecido,27942,0,0,0,0,0,0,12000,23/09/2024
Jaguarão,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,27942,0,0,0,0,0,0,0,21/06/2024
Jaguarão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,27942,0,0,0,0,0,0,27942,06/05/2024
Jaguarão,Tempestade Local/Convectiva - Chuvas Intensas,Registro,27942,0,0,0,0,0,0,64,30/03/2024
Jaguari,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,11478,0,0,0,106,700,0,0,04/05/2024
Jaguari,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,11478,0,0,0,0,36,0,11442,19/04/2024
Júlio de Castilhos,Tempestade Local/Convectiva - Chuvas Intensas,Registro,19579,0,0,0,0,0,0,0,07/05/2024
Júlio de Castilhos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,19579,0,0,0,7,10,0,19579,30/04/2024
Jaquirana,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4177,0,0,0,0,0,0,4177,26/06/2024
Jari,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3575,0,0,0,0,0,0,3349,03/05/2024
Jari,Tempestade Local/Convectiva - Vendaval,Registro,3575,0,0,0,0,0,0,0,22/03/2024
Lagoa Bonita do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2662,0,1,0,0,15,0,2235,01/05/2024
Lagoa Bonita do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2662,0,0,0,0,0,0,2251,18/01/2024
Lagoa dos Três Cantos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1598,0,0,0,0,0,0,1738,04/05/2024
Lagoa dos Três Cantos,Tempestade Local/Convectiva - Vendaval,Registro,1598,0,0,0,0,0,0,155,21/03/2024
Lagoa Vermelha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,27529,0,0,0,7,5,0,0,14/05/2024
Lagoa Vermelha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,27529,0,0,0,7,5,0,27517,04/05/2024
Lagoa Vermelha,Tempestade Local/Convectiva - Vendaval,Reconhecido,27529,0,0,0,0,0,0,27529,22/03/2024
Lagoa Vermelha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,27529,0,0,0,0,0,0,0,14/05/2024
Lagoão,Tempestade Local/Convectiva - Granizo,Reconhecido,6185,0,1,0,0,64,0,773,25/06/2024
Lagoão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6185,0,0,0,0,0,0,6185,02/05/2024
Lajeado, Inundações,Registro,71481,0,0,0,300,500,0,0,20/06/2024
Lajeado,Tempestade Local/Convectiva - Chuvas Intensas,Registro,71481,0,0,0,1300,5000,0,65000,13/05/2024
Lajeado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,71481,10,60,0,1326,5000,50,65000,04/05/2024
Lajeado,Enxurradas,Registro,71481,0,0,0,0,0,0,0,24/04/2024
Lajeado,Enxurradas,Registro,71481,0,0,0,0,0,0,0,08/04/2024
Lajeado,13212 - Tempestade Local/Convectiva - Tempestade de Raios,Registro,71481,0,0,0,0,0,0,0,01/04/2024
Lajeado,13212 - Tempestade Local/Convectiva - Tempestade de Raios,Registro,71481,0,0,0,0,10,0,0,18/01/2024
Lajeado do Bugre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2487,0,0,0,0,0,0,2487,03/05/2024
Lavras do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7669,0,0,0,0,10,0,300,02/05/2024
Liberato Salzano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5780,0,20,0,0,404,0,5356,03/05/2024
Lindolfo Collor,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5229,0,1,0,150,250,0,0,07/05/2024
Linha Nova,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1624,0,0,0,5,30,0,0,08/05/2024
Maçambará,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4742,0,0,0,0,0,0,3430,08/05/2024
Machadinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5515,0,0,0,0,0,0,2127,09/05/2024
Mampituba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2997,0,0,0,0,30,0,3101,16/05/2024
Manoel Viana,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7074,0,0,0,8,432,0,0,03/05/2024
Maquiné,Enxurradas,Registro,6908,0,0,0,0,0,0,0,03/05/2024
Maquiné,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6908,0,0,0,52,300,0,2900,06/05/2024
Maratá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2527,0,0,0,0,19,0,1909,03/05/2024
Marau,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,36383,0,0,0,30,24,0,9300,03/05/2024
Marcelino Ramos,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,5134,0,0,0,0,6,0,4314,30/12/2024
Marcelino Ramos,Tempestade Local/Convectiva - Chuvas Intensas,Registro,5134,0,0,0,0,14,0,4306,23/05/2024
Marcelino Ramos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5134,0,0,0,0,12,0,0,05/05/2024
Mariana Pimentel,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3768,0,0,0,0,2,0,280,06/05/2024
Mariano Moro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2210,0,0,0,0,0,0,1858,03/05/2024
Marques de Souza,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4068,0,20,0,400,150,1,3497,30/04/2024
Mata,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5111,0,0,0,100,700,0,4311,03/05/2024
Mata,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5111,0,0,0,0,0,0,5111,18/03/2024
Mata,Tempestade Local/Convectiva - Granizo,Reconhecido,5111,0,0,0,0,0,0,5111,19/01/2024
Mato Castelhano,Deslizamentos,Registro,2470,0,0,0,0,0,0,0,26/06/2024
Mato Castelhano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2470,0,0,0,0,59,0,1500,06/05/2024
Mato Leitão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3869,0,0,0,0,48,0,0,06/05/2024
Mato Queimado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1799,0,0,0,0,3,0,1796,17/05/2024
Maximiliano de Almeida,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4907,0,0,0,0,0,0,4191,03/05/2024
Maximiliano de Almeida,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4907,0,0,0,0,0,0,4191,20/04/2024
Minas do Leão,Tempestade Local/Convectiva - Vendaval,Registro,7631,0,0,0,0,0,0,254,03/12/2024
Minas do Leão,Alagamentos,Reconhecido,7631,0,0,0,12,68,0,140,06/05/2024
Miraguaí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4855,0,0,0,0,0,0,4855,05/05/2024
Miraguaí,Tempestade Local/Convectiva - Vendaval,Reconhecido,4855,0,0,0,0,0,0,4855,03/01/2024
Montauri,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1542,0,0,0,0,0,0,0,04/05/2024
Monte Alegre dos Campos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3098,0,0,0,0,0,0,0,22/05/2024
Monte Alegre dos Campos,Tempestade Local/Convectiva - Vendaval,Reconhecido,3098,0,0,0,2,0,0,276,29/04/2024
Monte Belo do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2670,0,19,0,147,50,0,0,06/05/2024
Montenegro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,59436,0,0,0,768,7845,0,2650,01/05/2024
Mormaço,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2749,0,0,0,0,7,0,2749,06/05/2024
Morrinhos do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3185,0,0,0,0,0,0,3185,06/05/2024
Morro Redondo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6231,0,0,0,0,0,0,1940,23/05/2024
Morro Redondo,Tempestade Local/Convectiva - Vendaval,Reconhecido,6231,0,0,0,0,0,0,560,22/03/2024
Morro Reuter,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5680,0,0,0,0,40,0,1500,06/05/2024
Mostardas,Tempestade Local/Convectiva - Chuvas Intensas,Registro,12130,0,0,0,0,0,0,0,19/07/2024
Mostardas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12130,0,0,0,0,0,0,0,03/05/2024
Mostardas,Tempestade Local/Convectiva - Chuvas Intensas,Registro,12130,0,0,0,0,0,0,0,02/05/2024
Muçum,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4791,0,0,0,306,3520,0,965,02/05/2024
Muitos Capões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2977,0,0,0,0,10,0,2869,08/05/2024
Muliterno,Tempestade Local/Convectiva - Vendaval,Registro,1813,0,0,0,0,0,0,23,30/10/2024
Não-Me-Toque,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,15938,0,1,0,3,3,0,3600,06/05/2024
Não-Me-Toque,Tempestade Local/Convectiva - Vendaval,Registro,15938,0,0,0,0,0,0,20,17/01/2024
Nicolau Vergueiro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1721,0,0,0,0,0,0,1400,03/07/2024
Nicolau Vergueiro,Tempestade Local/Convectiva - Vendaval,Registro,1721,0,0,0,0,0,0,0,01/04/2024
Nonoai,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12076,0,0,0,0,52,0,12024,04/05/2024
Nonoai,Enxurradas,Registro,12076,0,0,0,0,0,0,0,03/05/2024
Nova Alvorada,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3177,0,0,0,22,103,0,0,04/05/2024
Nova Bassano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8840,0,0,0,0,650,0,8999,02/05/2024
Nova Boa Vista,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1960,0,0,0,0,1,0,2041,03/05/2024
Nova Bréscia,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3184,0,0,0,16,5,0,3013,05/05/2024
Nova Candelária,Tempestade Local/Convectiva - Vendaval,Reconhecido,2751,0,0,0,0,0,0,3000,03/01/2024
Nova Esperança do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4671,0,0,0,0,0,0,4671,02/05/2024
Nova Hartz,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,18346,0,0,0,0,32,0,200,09/05/2024
Nova Pídua,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2445,0,0,0,0,72,0,0,08/05/2024
Nova Palma,Tempestade Local/Convectiva - Granizo,Registro,6345,0,0,0,0,0,0,0,26/09/2024
Nova Palma,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6345,0,0,0,50,550,0,5745,03/05/2024
Nova Palma,Tempestade Local/Convectiva - Vendaval,Registro,6345,0,0,0,0,0,0,6345,27/03/2024
Nova Palma,Tempestade Local/Convectiva - Chuvas Intensas,Registro,6345,0,0,0,0,0,0,6345,27/02/2024
Nova Petrópolis,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,19058,0,0,3,35,1200,0,21000,05/05/2024
Nova Prata,Enxurradas,Reconhecido,22830,0,0,0,3,180,0,8412,02/05/2024
Nova Ramada,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2437,0,0,0,0,16,0,2421,03/05/2024
