state,municipality,register,COBRADE,population,deaths,injured,sick,displaced,homeless,disapeared,other affecteds,Year
RS,Barra do Guarita,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3089,0,0,0,40,52,0,2997,2024
RS,Barra do Ribeiro,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,12568,0,0,0,416,780,0,8200,2024
RS,Barra do Rio Azul,17/12/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2003,0,0,0,0,40,0,1696,2024
RS,Barra do Rio Azul,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2003,0,0,0,420,0,0,1276,2024
RS,Barra Funda,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2367,0,0,0,0,24,0,2526,2024
RS,Barrac„o,22/01/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,5355,0,0,0,0,0,0,0,2024
RS,Barros Cassal,25/06/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,11133,0,0,0,0,0,0,5047,2024
RS,Barros Cassal,02/05/2024,12200 - Enxurradas,11133,0,0,0,0,0,0,0,2024
RS,Barros Cassal,05/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,11133,0,0,0,0,0,1,5047,2024
RS,Benjamin Constant do Sul,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2307,0,0,0,0,0,0,0,2024
RS,Bento GonÁalves,24/06/2024,13213 - Tempestade Local/Convectiva - Granizo,107341,0,0,0,0,0,0,65,2024
RS,Bento GonÁalves,24/06/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,107341,0,0,0,0,0,0,0,2024
RS,Bento GonÁalves,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,107341,4,64,0,104,600,8,0,2024
RS,Bento GonÁalves,23/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,107341,0,0,0,0,0,0,0,2024
RS,Boa Vista das Missıes,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2114,0,0,0,0,0,0,2114,2024
RS,Boa Vista do Buric·,02/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,6576,0,0,0,0,6,0,6570,2024
RS,Boa Vista do Cadeado,11/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2441,0,0,0,0,0,0,2226,2024
RS,Boa Vista do Incra,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2425,0,0,0,0,0,0,486,2024
RS,Boa Vista do Sul,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2778,2,0,0,0,5,0,2772,2024
RS,Bom Jesus,10/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,11556,0,0,0,20,25,0,3000,2024
RS,Bom Jesus,07/05/2024,13215 - Tempestade Local/Convectiva - Vendaval,11556,0,0,0,0,0,0,11309,2024
RS,Bom PrincÌpio,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,11792,1,0,0,171,468,0,63,2024
RS,Bom Progresso,09/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2328,0,0,0,0,0,0,2328,2024
RS,Bom Retiro do Sul,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,11472,0,0,0,55,1400,0,2500,2024
RS,Boqueir„o do Le„o,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7673,0,0,0,0,114,0,0,2024
RS,Boqueir„o do Le„o,20/02/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7673,0,0,0,0,32,0,2339,2024
RS,Bossoroca,17/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6887,0,0,0,0,0,0,6887,2024
