CD_MUN,"Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))",municipio,UF,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,Registro,Protocolo,COBRADE,Status,DH_Outros Afetados,COBRADE_COD,Year
4306106,1888,CRUZ ALTA,RS,62825,0,0,0,0,0,0,21/03/2024,RS-F-4306106-13215-20240321,13215 - Tempestade Local/Convectiva - Vendaval,Registro,112,13215,2024
1200203,1433,CRUZEIRO DO SUL,RS,12331,3,0,0,800,2987,0,01/05/2024,RS-F-4306205-13214-20240430,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12331,13214,2024
1200203,1433,CRUZEIRO DO SUL,RS,12331,0,0,0,0,12,0,18/01/2024,RS-F-4306205-13215-20240116,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,12319,13215,2024
4306601,1861.6,DOM PEDRITO,RS,38916,0,0,0,49,520,0,08/10/2024,RS-F-4306601-13214-20241001,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2731,13214,2024
4306601,1861.6,DOM PEDRITO,RS,38916,0,0,0,0,0,0,13/05/2024,RS-F-4306601-13214-20240513,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1930,13214,2024
4306908,1278.8,ENCRUZILHADA DO SUL,RS,24537,0,0,0,0,15,0,06/05/2024,RS-F-4306908-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7000,13214,2024
4307005,2246.2,ERECHIM,RS,96105,0,2,0,0,0,0,29/10/2024,RS-F-4307005-13215-20241024,13215 - Tempestade Local/Convectiva - Vendaval,Registro,0,13215,2024
4307005,2246.2,ERECHIM,RS,96105,0,2,0,0,52,0,03/05/2024,RS-F-4307005-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
4307005,2246.2,ERECHIM,RS,96105,0,0,0,0,0,0,16/03/2024,RS-F-4307005-13214-20240316,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,300,13214,2024
4307005,2246.2,ERECHIM,RS,96105,0,0,0,0,0,0,16/03/2024,RS-F-4307005-13215-20240316,13215 - Tempestade Local/Convectiva - Vendaval,Registro,0,13215,2024
4308508,1924.8,FREDERICO WESTPHALEN,RS,28848,0,0,0,6,22,0,04/05/2024,RS-F-4308508-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,32599,13214,2024
