CD_MUN_2,area_risco_km2,NM_MUN_2,SIGLA_UF,CD_MUN,area_municipio_km2,perc_area_em_risco
1200609,21091.728493499293,Tarauacá,AC,1200609,21091.72849349926,100.00000000000016
1200708,5517.378669296455,Xapuri,AC,1200708,5517.384314314065,99.99989768670645
1200807,2677.274448130789,Porto Acre,AC,1200807,2677.2744481307795,100.00000000000036
1300029,6039.5262120462585,Alvarães,AM,1300029,6039.526212046283,99.99999999999959
1300060,4902.357767200073,Amaturá,AM,1300060,4902.357767200074,99.99999999999997
1300086,2468.3975297353486,Anamã,AM,1300086,2468.397529735351,99.99999999999991
1300102,6096.869113893101,Anori,AM,1300102,6096.869113893078,100.00000000000038
1300144,54484.40628150428,Apuí,AM,1300144,54484.40628150442,99.99999999999973
1300201,80004.11456311711,Atalaia do Norte,AM,1300201,80169.26347268562,99.79399971708013
1300300,7688.606965985233,Autazes,AM,1300300,7688.606965985269,99.99999999999952
1300409,124142.71383513573,Barcelos,AM,1300409,124142.72866828843,99.99998805153322
1300508,5760.627993554406,Barreirinha,AM,1300508,5760.627993554412,99.9999999999999
1300607,9035.83436950306,Benjamin Constant,AM,1300607,9055.898540636996,99.77844085770285
1300631,17635.40335261885,Beruri,AM,1300631,17635.403352618683,100.00000000000095
1300680,2594.757381226356,Boa Vista do Ramos,AM,1300680,2594.7573812263495,100.00000000000024
1300706,22587.533479258294,Boca do Acre,AM,1300706,22587.533479258396,99.99999999999955
1300805,44445.13132888518,Borba,AM,1300805,44445.131328884876,100.00000000000068
1300839,9545.441565747618,Caapiranga,AM,1300839,9545.44156574762,99.99999999999997
1300904,34158.00390003974,Canutama,AM,1300904,34158.00390003945,100.00000000000082
1301001,26477.16689088695,Carauari,AM,1301001,26477.166890886867,100.00000000000031
1301100,6131.85617154336,Careiro,AM,1301100,6131.8561715433725,99.99999999999979
1301159,2640.074161985145,Careiro da Várzea,AM,1301159,2640.0741619851465,99.99999999999994
1301209,58881.506232326305,Coari,AM,1301209,58881.506232326064,100.0000000000004
1301308,18931.97651358509,Codajás,AM,1301308,18931.97651358556,99.99999999999753
1301407,15561.138640906522,Eirunepé,AM,1301407,15561.13864090653,99.99999999999994
1301506,7797.238136383082,Envira,AM,1301506,7797.238136383078,100.00000000000004
1301605,12439.873828401574,Fonte Boa,AM,1301605,12439.873828401709,99.99999999999892
1301654,7989.813802999088,Guajará,AM,1301654,7989.813802999092,99.99999999999994
1301704,33471.56913018237,Humaitá,AM,1301704,33471.56913018198,100.00000000000115
1301803,12664.082941148317,Ipixuna,AM,1301803,12664.082941148317,100.0
1301852,2231.0813835335043,Iranduba,AM,1301852,2231.081383533509,99.9999999999998
1301902,8923.060278016912,Itacoatiara,AM,1301902,8923.060278017008,99.99999999999892
1301951,26023.138079161712,Itamarati,AM,1301951,26023.138079161872,99.99999999999939
1302009,4349.267051959685,Itapiranga,AM,1302009,4349.267051959702,99.9999999999996
1302108,57588.63697133195,Japurá,AM,1302108,57588.65338686185,99.999971495201
1302207,19892.831168770925,Juruá,AM,1302207,19892.831168771045,99.9999999999994
1302306,71659.6863402088,Jutaí,AM,1302306,71659.68634020869,100.00000000000016
1302405,69697.16784971672,Lábrea,AM,1302405,69697.1678497182,99.99999999999787
1302504,7390.932487719616,Manacapuru,AM,1302504,7390.93248771968,99.99999999999913
1302553,4000.4861188067816,Manaquiri,AM,1302553,4000.486118806785,99.99999999999993
1302603,11469.56477463225,Manaus,AM,1302603,11469.56477463226,99.99999999999993
1302702,48722.49608084064,Manicoré,AM,1302702,48722.496080839686,100.00000000000196
1302801,17145.418406999866,Maraã,AM,1302801,17145.41840699996,99.99999999999945
1302900,40092.22665874556,Maués,AM,1302900,40092.226658745545,100.00000000000004
1303007,14137.00805923594,Nhamundá,AM,1303007,14137.008059235799,100.000000000001
1303106,5596.192358288899,Nova Olinda do Norte,AM,1303106,5596.192358288871,100.00000000000051
1303205,38123.86806818333,Novo Airão,AM,1303205,38123.868068183234,100.00000000000024
1303304,41442.167348937626,Novo Aripuanã,AM,1303304,41442.167348937684,99.99999999999986
1303403,5963.514764153136,Parintins,AM,1303403,5963.5147641531385,99.99999999999996
1303502,42891.95703467227,Pauini,AM,1303502,42891.9570346717,100.00000000000134
1303536,25599.755127350723,Presidente Figueiredo,AM,1303536,25599.755127350414,100.0000000000012
1303569,5843.953807694841,Rio Preto da Eva,AM,1303569,5843.953807694852,99.99999999999982
1303601,64083.67639203633,Santa Isabel do Rio Negro,AM,1303601,64083.69262522891,99.99997466876218
1303700,12796.757353298393,Santo Antônio do Içá,AM,1303700,12796.860216719782,99.99919618234749
1303809,112369.60821553115,São Gabriel da Cachoeira,AM,1303809,112488.3493164812,99.89444142289263
1303908,20373.997082565355,São Paulo de Olivença,AM,1303908,20373.997082565267,100.00000000000043
1303957,10683.821398687436,São Sebastião do Uatumã,AM,1303957,10683.821398687325,100.00000000000104
1304005,3735.139972495949,Silves,AM,1304005,3735.139972495958,99.99999999999977
1304062,3382.340863604237,Tabatinga,AM,1304062,3382.3408636042354,100.00000000000004
1304104,86519.93527568594,Tapauá,AM,1304104,86519.93527568592,100.00000000000004
1304203,24173.944437392307,Tefé,AM,1304203,24173.94443739232,99.99999999999994
1304237,6635.69292007036,Tonantins,AM,1304237,6635.692920070354,100.00000000000009
1304260,10479.31080253763,Uarini,AM,1304260,10479.310802537615,100.00000000000013
1304302,28012.19888696215,Urucará,AM,1304302,28012.19888696163,100.00000000000186
1304401,2892.801110633323,Urucurituba,AM,1304401,2892.8011106333242,99.99999999999996
1400027,28787.521697741202,Amajari,RR,1400027,28787.557703074584,99.99987492744694
1400050,25755.340534697665,Alto Alegre,RR,1400050,25755.349886918797,99.99996368823886
1400100,5726.238054530863,Boa Vista,RR,1400100,5726.2380545308515,100.0000000000002
1400159,8125.8784670934,Bonfim,RR,1400159,8125.8910246767055,99.99984546207588
1400175,7715.100792345348,Cantá,RR,1400175,7715.100792345355,99.99999999999991
1400209,47789.77913147439,Caracaraí,RR,1400209,47789.78496232847,99.99998779895309
1400233,12118.735646529352,Caroebe,RR,1400233,12118.74073767704,99.99995798946608
1400282,14164.262646341496,Iracema,RR,1400282,14164.268198344036,99.9999608027576
1400308,12459.27273657554,Mucajaí,RR,1400308,12459.272736575555,99.99999999999987
1400407,6999.0007209744645,Normandia,RR,1400407,6999.007965110064,99.99989649768031
1400456,8082.335748274196,Pacaraima,RR,1400456,8082.345541788984,99.99987882830872
1400472,33834.00577571836,Rorainópolis,RR,1400472,33834.00577571824,100.00000000000036
1400506,4306.667332044303,São João da Baliza,RR,1400506,4306.6673320442915,100.00000000000027
1400605,1535.7543759904215,São Luiz,RR,1400605,1535.7543759904104,100.00000000000074
1400704,8162.358885219881,Uiramutã,RR,1400704,8162.378907084057,99.99975470552882
1500107,1617.1100443533578,Abaetetuba,PA,1500107,1617.1100443533555,100.00000000000013
1500131,617.0244996947035,Abel Figueiredo,PA,1500131,617.0244996947063,99.99999999999956
1500206,4365.185236263393,Acará,PA,1500206,4365.185236263391,100.00000000000004
1500305,8352.262599293079,Afuá,PA,1500305,8352.262599293066,100.00000000000016
1500347,7127.719202451785,Água Azul do Norte,PA,1500347,7127.7192024518035,99.99999999999974
1500404,23649.26364550491,Alenquer,PA,1500404,23649.263645505016,99.99999999999956
1500503,72962.70707261875,Almeirim,PA,1500503,72962.71181191581,99.99999350449437
1500602,159549.54108842285,Altamira,PA,1500602,159549.54108842355,99.99999999999957
1500701,6931.004258461558,Anajás,PA,1500701,6931.004258461547,100.00000000000016
1500800,191.50192761071003,Ananindeua,PA,1500800,191.5019276107094,100.00000000000033
1500859,11908.50586509452,Anapu,PA,1500859,11908.505865094485,100.00000000000028
1500909,1109.0689796023466,Augusto Corrêa,PA,1500909,1109.0759346852371,99.99937289389545
1500958,1822.767923341958,Aurora do Pará,PA,1500958,1822.7679233419642,99.99999999999967
1501006,17085.80140900625,Aveiro,PA,1501006,17085.801409006242,100.00000000000004
1501105,4407.150002155724,Bagre,PA,1501105,4407.150002155721,100.00000000000007
1501204,3770.4765669800463,Baião,PA,1501204,3770.476566980038,100.00000000000023
1501253,2961.7083289267102,Bannach,PA,1501253,2961.7083289267125,99.99999999999993
1501303,1316.120034119284,Barcarena,PA,1501303,1316.1200341192846,99.99999999999994
1501402,1064.455351164108,Belém,PA,1501402,1064.4553511641047,100.00000000000028
1501451,4399.095251956638,Belterra,PA,1501451,4399.095251956644,99.99999999999987
1501501,188.76866988833802,Benevides,PA,1501501,188.76866988833757,100.00000000000024
1501576,2828.3298661322756,Bom Jesus do Tocantins,PA,1501576,2828.329866132277,99.99999999999996
1501600,591.0086762084809,Bonito,PA,1501600,591.0086762084773,100.00000000000063
1501709,2141.7495641220885,Bragança,PA,1501709,2141.753412721679,99.99982030613012
1501725,6364.293959395393,Brasil Novo,PA,1501725,6364.293959395414,99.99999999999967
1501758,1294.515400083442,Brejo Grande do Araguaia,PA,1501758,1294.5154000834407,100.00000000000011
1501782,3954.849925318858,Breu Branco,PA,1501782,3954.8499253188547,100.00000000000009
1501808,9583.361553876275,Breves,PA,1501808,9583.361553876266,100.00000000000009
1501907,1000.0157096555253,Bujaru,PA,1501907,1000.015709655526,99.99999999999993
1501956,2440.760997645476,Cachoeira do Piriá,PA,1501956,2440.760997645478,99.99999999999993
1502004,3112.7792027378896,Cachoeira do Arari,PA,1502004,3112.7792027378755,100.00000000000044
1502103,3090.8886523049546,Cametá,PA,1502103,3090.8886523049496,100.00000000000016
1502152,3154.200117421971,Canaã dos Carajás,PA,1502152,3154.200117421969,100.00000000000007
1502202,625.9852967864549,Capanema,PA,1502202,625.985296786454,100.00000000000016
1502301,2921.37376066127,Capitão Poço,PA,1502301,2921.3737606612553,100.00000000000048
1502400,1035.2156384025102,Castanhal,PA,1502400,1035.21563840251,100.00000000000003
1502509,12568.505082851994,Chaves,PA,1502509,12568.526500544958,99.99982959264983
1502608,385.99098633337024,Colares,PA,1502608,385.9928314503513,99.99952198154196
1502707,5847.14382394474,Conceição do Araguaia,PA,1502707,5847.143823944742,99.99999999999997
1502756,704.485753679314,Concórdia do Pará,PA,1502756,704.4857536793119,100.00000000000031
1502764,17105.025041586825,Cumaru do Norte,PA,1502764,17105.025041586843,99.99999999999989
1502772,2375.9237393077924,Curionópolis,PA,1502772,2375.9237393077933,99.99999999999997
1502806,3626.2080746158304,Curralinho,PA,1502806,3626.208074615827,100.00000000000009
1502855,1431.361052385091,Curuá,PA,1502855,1431.361052385088,100.0000000000002
1502905,680.2185386131812,Curuçá,PA,1502905,680.2237677096407,99.99923126819324
1502939,5298.702219347496,Dom Eliseu,PA,1502939,5298.702219347505,99.99999999999983
1502954,2966.818980127412,Eldorado do Carajás,PA,1502954,2966.818980127409,100.00000000000011
1503002,11798.538596599125,Faro,PA,1503002,11798.53859659901,100.00000000000098
1503044,3454.461288109583,Floresta do Araguaia,PA,1503044,3454.461288109581,100.00000000000007
1503077,1619.8196978557248,Garrafão do Norte,PA,1503077,1619.8196978557173,100.00000000000047
1503093,7050.761355000102,Goianésia do Pará,PA,1503093,7050.761355000106,99.99999999999994
1503101,8578.166261861543,Gurupá,PA,1503101,8578.166261861546,99.99999999999996
1503200,790.9715047738356,Igarapé-Açu,PA,1503200,790.9715047738313,100.00000000000055
1503309,2004.038512500037,Igarapé-Miri,PA,1503309,2004.0385125000375,99.99999999999997
1503408,475.27486541837914,Inhangapi,PA,1503408,475.27486541838084,99.99999999999964
1503457,5245.16344919287,Ipixuna do Pará,PA,1503457,5245.163449192889,99.99999999999963
1503507,1394.454092136705,Irituia,PA,1503507,1394.454092136711,99.99999999999956
1503606,62104.184456919786,Itaituba,PA,1503606,62104.18445691955,100.00000000000038
1503705,7900.720291870989,Itupiranga,PA,1503705,7900.720291870988,100.00000000000003
1503754,53394.63497843567,Jacareacanga,PA,1503754,53394.63497843573,99.99999999999989
1503804,2015.4093730629002,Jacundá,PA,1503804,2015.4093730629058,99.99999999999972
1503903,8310.945812799466,Juruti,PA,1503903,8310.945812799477,99.99999999999987
1504000,1494.8737650954567,Limoeiro do Ajuru,PA,1504000,1494.8737650954604,99.99999999999976
1504059,472.3659778250159,Mãe do Rio,PA,1504059,472.36597782501366,100.00000000000047
1504109,325.9954374376789,Magalhães Barata,PA,1504109,325.9955859352222,99.99995444798957
1504208,15165.543751283447,Marabá,PA,1504208,15165.543751283421,100.00000000000017
1504307,812.8596918349268,Maracanã,PA,1504307,812.8636257070208,99.99951604771458
1504406,809.5041152080945,Marapanim,PA,1504406,809.5069912400713,99.99964471808052
1504422,103.72394846829505,Marituba,PA,1504422,103.72394846829431,100.00000000000071
1504455,8273.569781801774,Medicilândia,PA,1504455,8273.569781801785,99.99999999999987
1504505,6782.957571473761,Melgaço,PA,1504505,6782.957571473761,100.0
1504604,873.9151949273764,Mocajuba,PA,1504604,873.9151949273795,99.99999999999964
1504703,9127.967675432787,Moju,PA,1504703,9127.967675432808,99.99999999999976
1504752,4988.506335436608,Mojuí dos Campos,PA,1504752,4988.506335436607,100.00000000000004
1504802,18153.079378076687,Monte Alegre,PA,1504802,18153.079378076738,99.99999999999972
1504901,3776.0608833285405,Muaná,PA,1504901,3776.0608833285464,99.99999999999984
1504950,2829.9156415171815,Nova Esperança do Piriá,PA,1504950,2829.9156415171788,100.00000000000009
1504976,1569.5991504079368,Nova Ipixuna,PA,1504976,1569.5991504079354,100.00000000000009
1505007,493.129628459578,Nova Timboteua,PA,1505007,493.1296284595795,99.99999999999969
1505031,38177.32310289525,Novo Progresso,PA,1505031,38177.3231028951,100.0000000000004
1505064,15431.706884594534,Novo Repartimento,PA,1505064,15431.70688459456,99.99999999999983
1505106,28023.648199292722,Óbidos,PA,1505106,28023.648199292795,99.99999999999974
1505205,3862.1862711977083,Oeiras do Pará,PA,1505205,3862.1862711977205,99.99999999999967
1505304,107788.2958564485,Oriximiná,PA,1505304,107788.33229753045,99.99996619199763
1505403,565.7661721967637,Ourém,PA,1505403,565.7661721967647,99.99999999999983
1505437,14425.230553127902,Ourilândia do Norte,PA,1505437,14425.23055312789,100.00000000000007
1505486,11853.10325915344,Pacajá,PA,1505486,11853.103259153424,100.00000000000013
1505494,989.1245806306679,Palestina do Pará,PA,1505494,989.1245806306679,100.0
1505502,19464.63176676134,Paragominas,PA,1505502,19464.631766761344,99.99999999999997
1505536,6898.7498903145915,Parauapebas,PA,1505536,6898.7498903146015,99.99999999999986
1505551,1675.2049410069728,Pau D'Arco,PA,1505551,1675.2049410069753,99.99999999999986
1505601,453.34629404068477,Peixe-Boi,PA,1505601,453.3462940406834,100.00000000000031
1505635,3325.2086832107398,Piçarra,PA,1505635,3325.2086832107416,99.99999999999994
1505650,7173.5105072151155,Placas,PA,1505650,7173.5105072151055,100.00000000000013
1505700,3376.28087253239,Ponta de Pedras,PA,1505700,3376.2808725324057,99.99999999999953
1505809,25421.81397682271,Portel,PA,1505809,25421.813976822763,99.99999999999979
1505908,17428.92093738947,Porto de Moz,PA,1505908,17428.920937389437,100.00000000000017
1506005,14787.380497446142,Prainha,PA,1506005,14787.380497446142,100.0
1506104,260.470528869981,Primavera,PA,1506104,260.470528869981,100.0
1506112,305.20261125954295,Quatipuru,PA,1506112,305.2050358504196,99.99920558621521
1506138,3832.136962601893,Redenção,PA,1506138,3832.1369626018895,100.00000000000009
1506161,4125.198337239883,Rio Maria,PA,1506161,4125.198337239902,99.99999999999953
1506187,8285.140161023395,Rondon do Pará,PA,1506187,8285.140161023412,99.9999999999998
1506195,7022.972877745959,Rurópolis,PA,1506195,7022.97287774597,99.99999999999983
1506203,227.64925807544546,Salinópolis,PA,1506203,227.65144440725902,99.99903961434585
1506302,922.5951204858135,Salvaterra,PA,1506302,922.5974192530147,99.99975083745595
1506351,279.5624088342989,Santa Bárbara do Pará,PA,1506351,279.5624088343003,99.99999999999949
1506401,1080.2697656100347,Santa Cruz do Arari,PA,1506401,1080.2697656100345,100.00000000000003
1506500,721.4504601129356,Santa Izabel do Pará,PA,1506500,721.45046011293,100.00000000000078
1506559,1356.8225780175069,Santa Luzia do Pará,PA,1506559,1356.822578017517,99.99999999999926
1506583,10351.43403939653,Santa Maria das Barreiras,PA,1506583,10351.434039396529,100.00000000000003
1506609,460.66824371450707,Santa Maria do Pará,PA,1506609,460.6682437145074,99.99999999999993
1506708,11611.47714014513,Santana do Araguaia,PA,1506708,11611.477140145153,99.99999999999982
1506807,17903.861544250318,Santarém,PA,1506807,17903.861544250267,100.00000000000028
1506906,231.07122406428547,Santarém Novo,PA,1506906,231.07122406428257,100.00000000000126
1507003,540.4111235218086,Santo Antônio do Tauá,PA,1507003,540.4111235218115,99.99999999999946
1507102,466.7075591576068,São Caetano de Odivelas,PA,1507102,466.7097532622182,99.99952987813174
1507151,1398.3405002842517,São Domingos do Araguaia,PA,1507151,1398.3405002842492,100.00000000000017
1507201,1696.7874786113905,São Domingos do Capim,PA,1507201,1696.787478611386,100.00000000000027
1507300,84255.64366324747,São Félix do Xingu,PA,1507300,84255.64366324787,99.99999999999952
1507409,482.3122183357227,São Francisco do Pará,PA,1507409,482.312218335722,100.00000000000016
1507458,3181.655014885228,São Geraldo do Araguaia,PA,1507458,3181.655014885216,100.00000000000038
1507466,197.0108822270409,São João da Ponta,PA,1507466,197.0108822270393,100.0000000000008
1507474,673.1458858811455,São João de Pirabas,PA,1507474,673.149464873165,99.99946832134522
1507508,1285.3624751349419,São João do Araguaia,PA,1507508,1285.3624751349464,99.99999999999964
1507607,1101.4296096488304,São Miguel do Guamá,PA,1507607,1101.4296096488288,100.00000000000016
1507706,1636.9011649994002,São Sebastião da Boa Vista,PA,1507706,1636.901164999394,100.00000000000038
1507755,1302.0712954394799,Sapucaia,PA,1507755,1302.0712954394774,100.0000000000002
1507805,14430.833261652127,Senador José Porfírio,PA,1507805,14430.833261652153,99.99999999999983
1507904,2869.665750359735,Soure,PA,1507904,2869.6726914438314,99.99975812279509
1507953,4449.259520803696,Tailândia,PA,1507953,4449.259520803701,99.9999999999999
1507961,206.1591752903243,Terra Alta,PA,1507961,206.15917529032401,100.00000000000013
1507979,1897.6450941711387,Terra Santa,PA,1507979,1897.645094171137,100.00000000000009
1508001,5171.246273941166,Tomé-Açu,PA,1508001,5171.246273941171,99.99999999999989
1508035,874.6643805070014,Tracuateua,PA,1508035,874.667456019672,99.99964837920406
1508050,11998.577162244246,Trairão,PA,1508050,11998.577162244263,99.99999999999987
1508084,2515.18698085766,Tucumã,PA,1508084,2515.186980857666,99.99999999999974
1508100,2089.8406684353417,Tucuruí,PA,1508100,2089.8406684353417,100.0
1508126,5121.393847275262,Ulianópolis,PA,1508126,5121.393847275253,100.00000000000016
1508159,10791.581234678993,Uruará,PA,1508159,10791.581234678975,100.00000000000017
1508209,403.7232132003699,Vigia,PA,1508209,403.72350399034,99.99992797298962
1508308,5016.343959818352,Viseu,PA,1508308,5016.351268426475,99.99985430429945
1508357,3091.4874916821923,Vitória do Xingu,PA,1508357,3091.487491682197,99.99999999999986
1508407,3790.279504904205,Xinguara,PA,1508407,3790.279504904184,100.00000000000055
1600055,7716.634998215765,Serra do Navio,AP,1600055,7716.634998215786,99.99999999999973
1600105,8470.140749033986,Amapá,AP,1600105,8470.155080563101,99.99983079968456
1600154,9625.660869782723,Pedra Branca do Amapari,AP,1600154,9625.660869782694,100.00000000000031
1600204,14132.08379654745,Calçoene,AP,1600204,14132.093913725124,99.99992840991762
1600212,2183.246075757563,Cutias,AP,1600212,2183.2460757575604,100.00000000000013
1600238,4979.504290314604,Ferreira Gomes,AP,1600238,4979.504290314648,99.99999999999912
1600253,1625.6749246368809,Itaubal,AP,1600253,1625.674924636886,99.99999999999967
1600279,30787.585667341173,Laranjal do Jari,AP,1600279,30787.605444078825,99.99993576396291
1600303,6575.050853354007,Macapá,AP,1600303,6575.054787616589,99.99994016380533
1600402,13303.54894783042,Mazagão,AP,1600402,13303.54894783057,99.99999999999888
1600501,23050.64514065128,Oiapoque,AP,1600501,23050.671668697407,99.99988491421634
1600535,4431.756135569512,Porto Grande,AP,1600535,4431.756135569527,99.99999999999966
1600550,4953.595309551725,Pracuúba,AP,1600550,4953.5953095517125,100.00000000000027
1600600,1542.8517637718753,Santana,AP,1600600,1542.851763771877,99.9999999999999
1600709,6694.200458937048,Tartarugalzinho,AP,1600709,6694.2004589370445,100.00000000000004
1600808,2510.4418605658516,Vitória do Jari,AP,1600808,2510.441860565852,99.99999999999997
1700251,1912.5562477374817,Abreulândia,TO,1700251,1912.5562477375156,99.99999999999822
1700301,238.29981131105652,Aguiarnópolis,TO,1700301,238.29981131105345,100.0000000000013
1700350,1587.0474936731432,Aliança do Tocantins,TO,1700350,1587.047493673153,99.99999999999939
1700400,4034.368754544922,Almas,TO,1700400,4034.3687545449257,99.99999999999991
1700707,1211.4196275505253,Alvorada,TO,1700707,1211.4196275505283,99.99999999999976
1701002,1589.1575443442696,Ananás,TO,1701002,1589.1575443442798,99.99999999999936
1701051,450.05712924305107,Angico,TO,1701051,450.057129243049,100.00000000000044
1701101,1165.2528645608281,Aparecida do Rio Negro,TO,1701101,1165.2528645608475,99.99999999999835
1701309,1173.3002209460426,Aragominas,TO,1701309,1173.3002209460446,99.99999999999983
