"country","state","municipality","municipality - state","geocode","feature_id","class","class_level_0","class_level_1","class_level_2","2013","2023","new column","total_eventos","total_afetados","populacao_total","percentual_afetados","municipality (Right)","state (Right)"
"Brasil","Acre","Brasiléia","Brasiléia - AC",1200104,55,3,"Natural","1. Forest","1.1. Forest Formation",276734.500066371,224984.354039558,-18.700287103487792,3,26240,21438,"122.39947756320552","Brasiléia","AC"
"Brasil","Acre","Brasiléia","Brasiléia - AC",1200104,55,4,"Natural","1. Forest","1.2. Savanna Formation",15.6393841552734,16.5189884948731,5.624290131035043,3,26240,21438,"122.39947756320552","Brasiléia","AC"
"Brasil","Acre","Brasiléia","Brasiléia - AC",1200104,55,6,"Natural","1. Forest","1.4 Floodable Forest",199.107677209473,181.010786175537,-9.08899711330418,3,26240,21438,"122.39947756320552","Brasiléia","AC"
"Brasil","Acre","Capixaba","Capixaba - AC",1200179,57,3,"Natural","1. Forest","1.1. Forest Formation",90397.8379246256,67777.8850975907,-25.022670172593713,1,7880,8810,"89.44381384790012","Capixaba","AC"
"Brasil","Acre","Capixaba","Capixaba - AC",1200179,57,4,"Natural","1. Forest","1.2. Savanna Formation",0.615770538330078,0,-100,1,7880,8810,"89.44381384790012","Capixaba","AC"
"Brasil","Acre","Capixaba","Capixaba - AC",1200179,57,6,"Natural","1. Forest","1.4 Floodable Forest",1059.60477555542,1090.05612388306,2.8738402308236273,1,7880,8810,"89.44381384790012","Capixaba","AC"
"Brasil","Acre","Epitaciolândia","Epitaciolândia - AC",1200252,59,3,"Natural","1. Forest","1.1. Forest Formation",88860.5280394863,72581.1700073405,-18.3201229964691,2,7650,15126,"50.57516858389528","Epitaciolândia","AC"
"Brasil","Acre","Epitaciolândia","Epitaciolândia - AC",1200252,59,4,"Natural","1. Forest","1.2. Savanna Formation",0,0,,2,7650,15126,"50.57516858389528","Epitaciolândia","AC"
"Brasil","Acre","Epitaciolândia","Epitaciolândia - AC",1200252,59,6,"Natural","1. Forest","1.4 Floodable Forest",62.6330116210937,76.5077464172363,22.152431181306692,2,7650,15126,"50.57516858389528","Epitaciolândia","AC"
"Brasil","Acre","Feijó","Feijó - AC",1200302,60,3,"Natural","1. Forest","1.1. Forest Formation",2694178.17076343,2591990.14332093,-3.792920176973437,3,2000,32311,"6.189842468509176","Feijó","AC"
"Brasil","Acre","Feijó","Feijó - AC",1200302,60,4,"Natural","1. Forest","1.2. Savanna Formation",2.38702426757812,3.0918971496582,29.529355509872783,3,2000,32311,"6.189842468509176","Feijó","AC"
"Brasil","Acre","Feijó","Feijó - AC",1200302,60,6,"Natural","1. Forest","1.4 Floodable Forest",12849.1180830993,11289.3377465881,-12.13920151113569,3,2000,32311,"6.189842468509176","Feijó","AC"
"Brasil","Acre","Jordão","Jordão - AC",1200328,61,3,"Natural","1. Forest","1.1. Forest Formation",525248.113832737,516000.941833184,-1.760534070665451,3,19000,6531,"290.92022661154493","Jordão","AC"
"Brasil","Acre","Jordão","Jordão - AC",1200328,61,4,"Natural","1. Forest","1.2. Savanna Formation",0,12.1946158325195,,3,19000,6531,"290.92022661154493","Jordão","AC"
"Brasil","Acre","Jordão","Jordão - AC",1200328,61,6,"Natural","1. Forest","1.4 Floodable Forest",486.616256909181,411.004005975343,-15.538373381543193,3,19000,6531,"290.92022661154493","Jordão","AC"
"Brasil","Acre","Mâncio Lima","Mâncio Lima - AC",1200336,62,3,"Natural","1. Forest","1.1. Forest Formation",498315.63011052,487991.509902786,-2.0718034081018573,1,4420,15246,"28.991210809392626","Mâncio Lima","AC"
"Brasil","Acre","Mâncio Lima","Mâncio Lima - AC",1200336,62,4,"Natural","1. Forest","1.2. Savanna Formation",2.48195003662109,2.3931528503418,-3.57771852652514,1,4420,15246,"28.991210809392626","Mâncio Lima","AC"
"Brasil","Acre","Mâncio Lima","Mâncio Lima - AC",1200336,62,6,"Natural","1. Forest","1.4 Floodable Forest",14918.1029371399,14843.9063478637,-0.49735941351819773,1,4420,15246,"28.991210809392626","Mâncio Lima","AC"
"Brasil","Acre","Manoel Urbano","Manoel Urbano - AC",1200344,63,3,"Natural","1. Forest","1.1. Forest Formation",1030515.12875543,985548.207500012,-4.363538195671642,4,3203,7989,"40.09262736262361","Manoel Urbano","AC"
"Brasil","Acre","Manoel Urbano","Manoel Urbano - AC",1200344,63,4,"Natural","1. Forest","1.2. Savanna Formation",23.490919152832,12.1868144470215,-48.1211681512586,4,3203,7989,"40.09262736262361","Manoel Urbano","AC"
"Brasil","Acre","Manoel Urbano","Manoel Urbano - AC",1200344,63,6,"Natural","1. Forest","1.4 Floodable Forest",5378.21855432131,4256.97876600954,-20.847791457096374,4,3203,7989,"40.09262736262361","Manoel Urbano","AC"
"Brasil","Acre","Marechal Thaumaturgo","Marechal Thaumaturgo - AC",1200351,64,3,"Natural","1. Forest","1.1. Forest Formation",797824.804012487,786807.741725978,-1.3808874117602061,1,8192,14200,"57.690140845070424","Marechal Thaumaturgo","AC"
"Brasil","Acre","Marechal Thaumaturgo","Marechal Thaumaturgo - AC",1200351,64,6,"Natural","1. Forest","1.4 Floodable Forest",761.012366314697,627.133532373046,-17.592202159601815,1,8192,14200,"57.690140845070424","Marechal Thaumaturgo","AC"
"Brasil","Acre","Porto Walter","Porto Walter - AC",1200393,66,3,"Natural","1. Forest","1.1. Forest Formation",626041.337307786,616904.942138012,-1.4593916767643333,1,5868,9172,"63.97732228521588","Porto Walter","AC"
"Brasil","Acre","Porto Walter","Porto Walter - AC",1200393,66,4,"Natural","1. Forest","1.2. Savanna Formation",0,2.9197916809082,,1,5868,9172,"63.97732228521588","Porto Walter","AC"
"Brasil","Acre","Porto Walter","Porto Walter - AC",1200393,66,6,"Natural","1. Forest","1.4 Floodable Forest",2735.01863076173,2424.78813776856,-11.34290236651031,1,5868,9172,"63.97732228521588","Porto Walter","AC"
"Brasil","Acre","Rio Branco","Rio Branco - AC",1200401,67,3,"Natural","1. Forest","1.1. Forest Formation",638158.304632816,566641.193293626,-11.206797877579861,4,261256,335796,"77.80199883262458","Rio Branco","AC"
"Brasil","Acre","Rio Branco","Rio Branco - AC",1200401,67,4,"Natural","1. Forest","1.2. Savanna Formation",7.39833328857422,6.07685881347656,-17.861786209854966,4,261256,335796,"77.80199883262458","Rio Branco","AC"
"Brasil","Acre","Rio Branco","Rio Branco - AC",1200401,67,6,"Natural","1. Forest","1.4 Floodable Forest",4960.22194054568,4836.66694760745,-2.4909166246830714,4,261256,335796,"77.80199883262458","Rio Branco","AC"
"Brasil","Acre","Rodrigues Alves","Rodrigues Alves - AC",1200427,68,3,"Natural","1. Forest","1.1. Forest Formation",266609.828961803,252864.189603475,-5.155713655364639,1,2548,14334,"17.775917399190735","Rodrigues Alves","AC"
"Brasil","Acre","Rodrigues Alves","Rodrigues Alves - AC",1200427,68,4,"Natural","1. Forest","1.2. Savanna Formation",0,0.620254699707031,,1,2548,14334,"17.775917399190735","Rodrigues Alves","AC"
"Brasil","Acre","Rodrigues Alves","Rodrigues Alves - AC",1200427,68,6,"Natural","1. Forest","1.4 Floodable Forest",1771.74224101562,1824.29549533692,2.9661907417850375,1,2548,14334,"17.775917399190735","Rodrigues Alves","AC"
"Brasil","Acre","Sena Madureira","Sena Madureira - AC",1200500,71,3,"Natural","1. Forest","1.1. Forest Formation",2223118.02246872,2131399.7321099,-4.125659970898396,1,16671,37993,"43.87913563024768","Sena Madureira","AC"
"Brasil","Acre","Sena Madureira","Sena Madureira - AC",1200500,71,4,"Natural","1. Forest","1.2. Savanna Formation",43.9667909118652,33.6360539367676,-23.496681838359216,1,16671,37993,"43.87913563024768","Sena Madureira","AC"
"Brasil","Acre","Sena Madureira","Sena Madureira - AC",1200500,71,6,"Natural","1. Forest","1.4 Floodable Forest",7586.10001280523,6051.36896456916,-20.230830672486068,1,16671,37993,"43.87913563024768","Sena Madureira","AC"
"Brasil","Acre","Tarauacá","Tarauacá - AC",1200609,72,3,"Natural","1. Forest","1.1. Forest Formation",1912887.5866502,1850538.36768791,-3.259429325456297,2,23277,35526,"65.52102685357202","Tarauacá","AC"
"Brasil","Acre","Tarauacá","Tarauacá - AC",1200609,72,4,"Natural","1. Forest","1.2. Savanna Formation",0,0,,2,23277,35526,"65.52102685357202","Tarauacá","AC"
"Brasil","Acre","Tarauacá","Tarauacá - AC",1200609,72,6,"Natural","1. Forest","1.4 Floodable Forest",9441.20714536134,8187.19409162599,-13.282338099651517,2,23277,35526,"65.52102685357202","Tarauacá","AC"
