municipality,state,total_eventos,total_afetados,populacao_total,percentual_afetados
Bento Gonçalves,RS,4,845,107341,0.7872108513988131
Berilo,MG,1,80,12307,0.6500365645567563
Betim,MG,1,0,377547,0.0
Biguaçu,SC,2,0,58238,0.0
Blumenau,SC,1,10354,309214,3.3484900424948414
Boa Esperança,ES,1,21,14199,0.1478977392774139
Boa Vista Das Missões,RS,1,2114,2114,100.0
Boa Vista Do Buricá,RS,1,6576,6576,100.0
Boa Vista Do Cadeado,RS,1,2226,2441,91.19213437115936
Boa Vista Do Gurupi,MA,1,1291,7949,16.241036608378412
Boa Vista Do Incra,RS,1,486,2425,20.04123711340206
Boa Vista Do Ramos,AM,1,0,14921,0.0
Boa Vista Do Sul,RS,1,2779,2778,100.03599712023039
Boa Vista Do Tupim,BA,1,3780,18000,21.0
Boca Do Acre,AM,1,13281,29880,44.44779116465863
Bocaina Do Sul,SC,9,144,3290,4.376899696048632
Bodoquena,MS,5,15734,7986,197.0197846230904
Bom Conselho,PE,1,3,45506,0.006592537247835451
Bom Jardim Da Serra,SC,1,411,4400,9.340909090909092
Bom Jesus,RS,2,14354,11556,124.21253028729664
Bom Jesus,SC,1,39,2526,1.5439429928741093
Bom Jesus Do Itabapoana,RJ,3,22437,35384,63.4100158263622
Bom Jesus Do Norte,ES,1,10250,9479,108.13376938495622
Bom Princípio,RS,1,703,11792,5.961668928086839
Bom Progresso,RS,1,2328,2328,100.0
Bom Retiro,SC,2,1453,8942,16.24916126146276
Bom Retiro Do Sul,RS,1,3955,11472,34.47524407252441
Bonito,PA,1,6553,13630,48.07776962582538
Boqueirão Do Leão,RS,2,2485,7673,32.38628958686303
Bossoroca,RS,1,6887,6887,100.0
Botuverá,SC,2,0,4468,0.0
Bozano,RS,1,2200,2200,100.0
Braga,RS,1,3268,3702,88.27660723933009
Bragança,PA,1,8,113165,0.0070693235541024165
Brasiléia,AC,3,26240,21438,122.39947756320552
Brasília,DF,1,80,2562963,0.0031213872381302423
Brasópolis,MG,1,206,14663,1.4048966787151334
Braço Do Norte,SC,1,8,29018,0.027569095044455167
Brejo Da Madre De Deus,PE,2,3534,45192,7.819968135953266
Breves,PA,1,0,92865,0.0
Brochier,RS,4,4971,4677,106.28608082103912
Brotas,SP,1,23898,21580,110.74142724745136
Brusque,SC,4,47823,105495,45.33200625622067
Bueno Brandão,MG,1,9,10892,0.0826294528094014
