Ministério da Integração e do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil 
Relatório Gerencial - Danos Informados
Data Inicial: 01/01/2024 Data Final: 31/12/2024 UF: RS
UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
RS;Rio Grande;16/12/2024;RS-F-4315602-13215-20241206;13215 - Tempestade Local/Convectiva - Vendaval;Registro;197253;0;0;0;0;0;0;10000;6;0;12000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Candiota;10/12/2024;RS-F-4304358-13215-20241206;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;8776;0;0;0;0;0;0;480;120;0;400000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;45000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Ciríaco;03/12/2024;RS-F-4305504-13215-20241202;13215 - Tempestade Local/Convectiva - Vendaval;Registro;4922;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000.0;0.0
RS;Arroio do Tigre;02/12/2024;RS-F-4301206-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;12648;0;40;0;0;0;0;13373;150;0;181268.96;0;0;0.0;3;0;60000.0;0;0;0.0;0;1;807218.75;0;0;0.0;;;;;;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000.0;0.0;0.0;0.0;0.0;0.0
RS;Minas do Leão;03/12/2024;RS-F-4312252-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Registro;7631;0;0;0;0;0;0;254;86;0;16000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Arambaré;04/12/2024;RS-F-4300851-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;3693;0;0;0;0;0;0;850;210;0;420000.0;1;0;10000.0;2;0;300000.0;1;0;20000.0;2;0;25000.0;0;0;0.0;;;;;;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;0.0;0.0;0.0
RS;Chuvisca;09/12/2024;RS-F-4305447-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;4944;0;3;0;0;60;0;437;100;25;711000.0;0;0;0.0;0;0;0.0;0;0;0.0;8;8;100000.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Santana da Boa Vista;06/12/2024;RS-F-4317004-13214-20241201;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;8244;0;0;0;0;1;0;79;20;0;50000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Antônio Prado;02/12/2024;RS-F-4300802-13215-20241201;13215 - Tempestade Local/Convectiva - Vendaval;Registro;12837;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Relvado;03/12/2024;RS-F-4315453-13214-20241129;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;2155;1;0;0;0;0;1;2098;133;20;7650000.0;1;0;100000.0;2;0;400000.0;0;0;0.0;0;0;0.0;6;6;5264327.38;;;;;;154856.0;327790.45;0.0;0.0;0.0;0.0;0.0;464839.0;0.0;0.0;460000.0;1669212.0;1953630.4;0.0;0.0;0.0
RS;Feliz;28/11/2024;RS-F-4308102-13214-20241128;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;12359;0;0;350;0;40;0;5370;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;DE 5% A 10%;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Doutor Maurício Cardoso;29/11/2024;RS-F-4306734-13214-20241128;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;5313;0;0;0;0;0;0;4470;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;MAIS DE 20%;;;;;0.0;0.0;40720.0;0.0;0.0;0.0;0.0;3073309.43;0.0;0.0;0.0;5469000.0;0.0;0.0;0.0;0.0
RS;Itaara;20/11/2024;RS-F-4310538-13214-20241117;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;5011;0;0;0;0;2;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;10;5;30000.0;;;;;;0.0;0.0;22000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;São Sepé;08/11/2024;RS-F-4319604-12300-20241107;12300 - Alagamentos;Registro;23798;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Canoas;01/11/2024;RS-F-4304606-13214-20241101;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;324025;0;0;0;3341;0;0;8180;0;0;0.0;0;0;0.0;1;0;2704768.34;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2704768.34;0.0;0.0;0.0;0.0;0.0
RS;Ciríaco;25/10/2024;RS-F-4305504-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;4922;0;0;0;0;0;0;100;4;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;2;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Dom Pedro de Alcântara;29/10/2024;RS-F-4306551-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Não reconhecido;2550;0;0;0;0;0;0;0;4;0;0.0;0;0;0.0;1;0;40000.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40000.0;0.0;0.0;0.0;0.0;0.0
RS;Erechim;29/10/2024;RS-F-4307005-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;96105;0;2;0;0;0;0;0;185;0;450000.0;0;0;0.0;4;0;25000.0;1;0;40000.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Ponte Preta;24/10/2024;RS-F-4314787-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;1750;0;0;0;0;0;0;0;4;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Antônio Prado;24/10/2024;RS-F-4300802-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;12837;0;0;0;0;0;0;0;2;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Muliterno;30/10/2024;RS-F-4312625-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;1813;0;0;0;0;0;0;23;3;0;1500.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95000.0;0.0;0.0;0.0
RS;Brochier;24/10/2024;RS-F-4302659-13215-20241024;13215 - Tempestade Local/Convectiva - Vendaval;Registro;4677;0;0;0;0;0;0;0;3;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;1;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Tramandaí;14/10/2024;RS-F-4321600-13215-20241011;13215 - Tempestade Local/Convectiva - Vendaval;Registro;41655;0;0;0;0;0;0;6;0;0;0.0;0;0;0.0;3;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Santa Bárbara do Sul;02/10/2024;RS-F-4316709-13215-20241001;13215 - Tempestade Local/Convectiva - Vendaval;Registro;8829;0;0;0;5;0;0;800;80;0;0.0;0;0;0.0;2;0;0.0;2;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;2163.0;1690000.0;0.0;0.0;0.0;0.0
RS;Dom Pedrito;08/10/2024;RS-F-4306601-13214-20241001;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;38916;0;0;0;49;520;0;2731;50;0;181310.0;0;0;0.0;2;0;210666.74;0;0;0.0;0;0;0.0;31;0;3348780.8;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3348780.8;0.0;0.0;210666.74;1.378194E8;1.0674405E7;0.0;0.0;0.0
RS;São Vicente do Sul;01/10/2024;RS-F-4319802-13215-20241001;13215 - Tempestade Local/Convectiva - Vendaval;Registro;8440;0;0;0;0;0;0;18;6;0;5000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Hulha Negra;09/10/2024;RS-F-4309654-13214-20241001;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;6048;0;0;0;0;0;0;6048;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;650;0;3.604E7;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.604E7;0.0;0.0;0.0;0.0;154041.0;0.0;0.0;0.0
RS;São José do Norte;27/09/2024;RS-F-4318507-13214-20240926;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;25523;0;0;0;0;7;0;180;5;0;69436.08;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;10;0;107450.0;;;;;;0.0;0.0;28250.0;0.0;0.0;0.0;0.0;79200.0;0.0;0.0;0.0;3.2E7;4200000.0;0.0;0.0;0.0
RS;Cândido Godói;26/09/2024;RS-F-4304309-13215-20240926;13215 - Tempestade Local/Convectiva - Vendaval;Registro;6535;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;1;0;20000.0;1;0;1000.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Palmeira das Missões;27/09/2024;RS-F-4313706-13215-20240925;13215 - Tempestade Local/Convectiva - Vendaval;Registro;34335;0;0;0;0;0;0;700;170;0;350000.0;0;0;0.0;6;0;70000.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15000.0;10000.0;0.0
RS;Camaquã;25/09/2024;RS-F-4303509-13214-20240925;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;62759;0;0;0;0;60;0;62699;393;7;893840.0;21;0;1405000.0;9;0;1016000.0;0;0;0.0;0;0;0.0;2500;0;700000.0;;;;;;1405000.0;0.0;0.0;0.0;0.0;0.0;0.0;700000.0;0.0;0.0;1016000.0;4.59E7;0.0;0.0;0.0;0.0
RS;Amaral Ferrador;01/10/2024;RS-F-4300638-13214-20240925;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;6355;0;0;0;0;12;0;6343;250;0;358527.0;1;0;974.3;2;0;1200.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;974.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1200.0;1.26E7;1120000.0;0.0;0.0;0.0
RS;Canguçu;27/09/2024;RS-F-4304507-13214-20240925;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;53268;0;0;0;0;4;0;21284;226;4;530700.0;1;0;16500.0;0;3;49000.0;0;0;0.0;0;0;0.0;17;5;570200.0;;;;;;16500.0;0.0;0.0;0.0;0.0;0.0;0.0;570200.0;0.0;0.0;49000.0;7347000.0;54617.5;450000.0;0.0;179261.76
RS;Rio Grande;27/09/2024;RS-F-4315602-13214-20240925;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;197253;0;0;0;43;150;0;10000;60;0;120000.0;0;0;0.0;3;0;458000.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;458000.0;1618400.0;2600000.0;0.0;0.0;0.0
RS;Tavares;03/10/2024;RS-F-4321352-13214-20240924;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;5351;0;0;0;0;6;0;556;10;0;5931.5;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;7;1;111000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;111000.0;0.0;0.0;0.0;8750000.0;0.0;0.0;0.0;0.0
RS;Pinheiro Machado;01/10/2024;RS-F-4314506-13214-20240923;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;12787;0;0;0;0;0;0;11214;51;0;25500.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;38;0;925000.0;;;DE 0% A 5%;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;925000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Cristal;24/09/2024;RS-F-4306056-13214-20240923;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;7280;0;0;0;0;0;0;1200;80;1;70000.0;1;0;50000.0;2;0;150000.0;0;0;0.0;0;0;0.0;0;0;50000.0;;;;;;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;4000.0;0.0;0.0;150000.0;8000000.0;0.0;0.0;0.0;0.0
RS;Pelotas;02/10/2024;RS-F-4314407-13214-20240923;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;327778;0;0;0;44;0;0;0;0;0;0.0;0;0;0.0;30;0;1345000.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Arambaré;26/09/2024;RS-F-4300851-13214-20240923;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;3693;0;0;0;8;150;0;0;20;3;200000.0;1;0;16661.63;1;0;14527.0;0;0;0.0;0;0;0.0;1;0;400000.0;;;;;;16661.63;0.0;0.0;0.0;0.0;0.0;0.0;400000.0;0.0;0.0;14527.0;0.0;0.0;0.0;0.0;0.0
RS;Candiota;01/10/2024;RS-F-4304358-13214-20240923;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;8776;0;0;0;0;0;0;160;40;0;0.0;2;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Soledade;26/09/2024;RS-F-4320800-13215-20240920;13215 - Tempestade Local/Convectiva - Vendaval;Registro;30065;0;0;0;0;0;0;84;21;0;18552.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Garruchos;09/10/2024;RS-F-4308656-13215-20240920;13215 - Tempestade Local/Convectiva - Vendaval;Registro;3233;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Piratini;27/09/2024;RS-F-4314605-13214-20240919;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;19831;0;0;0;0;2;0;19829;110;0;354500.0;94;0;254472.5;0;0;0.0;0;0;0.0;0;0;0.0;210;2;297600.0;;;;;;254472.5;0.0;268917.0;0.0;0.0;0.0;0.0;860000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Hulha Negra;22/08/2024;RS-F-4309654-11321-20240822;11321 - Deslizamentos;Registro;6048;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Pinheiro Machado;20/08/2024;RS-F-4314506-13214-20240820;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;12787;0;0;0;0;0;0;11214;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Mostardas;19/07/2024;RS-F-4312500-13214-20240719;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;12130;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.3968175E7;1.34573175E8;0.0;0.0;0.0
RS;Ipiranga do Sul;28/06/2024;RS-F-4310462-13214-20240626;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;1944;0;0;0;0;0;0;1720;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;2;1;192000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192000.0;0.0;0.0;0.0;7431242.48;72312.5;0.0;0.0;0.0
RS;Nicolau Vergueiro;03/07/2024;RS-F-4312674-13214-20240625;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;1721;0;0;0;0;0;0;1400;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;3;1;172500.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172500.0;0.0;0.0;0.0;1518175.0;2218220.8;0.0;0.0;0.0
