CD_MUN,municipality,area,population2022,population2024,event,status,deaths,injured,sick,missing,evacuated,displaced,otherAffected,record,totalAffected,totalNotAffected,totalAffectedNormalized,totalNotAffectedNormalized,percentageAffected
4301701,Barão de Cotegipe,260.505,7144,7313,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,45,0,7099,06/05/2024,7144,169,7144,169,97.6890469
4301750,Barão do Triunfo,436.101,5889,5983,Enxurradas,Reconhecido,0,0,0,0,0,0,5889,08/05/2024,5889,94,5889,94,98.42888183
4301800,Barracão,515.469,4831,4920,,,,,,,,,,,,,,,
4301859,Barra do Guarita,62.801,3161,3230,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,52,40,2997,04/05/2024,3089,141,3089,141,95.63467492
4301875,Barra do Quaraí,1055.937,4241,4337,,,,,,,,,,,,,,,
4301909,Barra do Ribeiro,729.316,12225,12475,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,780,416,8200,06/05/2024,9396,3079,9396,3079,75.31863727
4301925,Barra do Rio Azul,146.995,1696,1724,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,420,1276,03/05/2024,1696,28,1696,28,98.37587007
4301958,Barra Funda,60.437,2498,2555,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,24,0,2526,03/05/2024,2550,5,2550,5,99.80430528
4302006,Barros Cassal,647.994,9296,9442,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,1,0,0,5047,05/05/2024,5048,4394,5048,4394,53.46324931
4302055,Benjamin Constant do Sul,132.351,2082,2120,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,03/05/2024,0,2120,0,2120,0
4302105,Bento Gonçalves,272.287,123151,127775,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4,64,0,8,600,104,0,03/05/2024,780,126995,780,126995,0.610448053
4302154,Boa Vista das Missões,196.064,1933,1969,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2114,03/05/2024,2114,-145,2114,0,100
4302204,Boa Vista do Buricá,109.541,6966,7125,,,,,,,,,,,,,,,
4302220,Boa Vista do Cadeado,701.221,2229,2271,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2226,11/05/2024,2226,45,2226,45,98.01849406
4302238,Boa Vista do Incra,504.114,2271,2315,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,486,07/05/2024,486,1829,486,1829,20.99352052
4302253,Boa Vista do Sul,93.108,2779,2815,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2,0,0,0,5,0,2772,03/05/2024,2779,36,2779,36,98.72113677
4302303,Bom Jesus,2622.837,11202,11431,Tempestade Local/Convectiva - Vendaval,Reconhecido,0,0,0,0,0,0,11309,07/05/2024,11309,122,11309,122,98.9327268
