"CD_MUN","Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))","municipio","UF","População","DH_Mortos","DH_Feridos","DH_Enfermos","DH_Desabrigados","DH_Desalojados","DH_Desaparecidos","Registro","Protocolo","COBRADE","Status","DH_Outros Afetados","COBRADE_COD","Year"
4204806,1884.8000000000088,"CURITIBANOS","SC",37774,0,0,0,0,0,0,"2024-12-03","SC-F-4204806-13215-20241202","13215 - Tempestade Local/Convectiva - Vendaval","Registro",0,13215,2024
3157005,1481.8000000000059,"SALINAS","MG",39182,0,0,0,0,32,0,"2024-12-02","MG-F-3157005-13214-20241201","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",12000,13214,2024
4106902,1284.6000000000042,"CURITIBA","PR",1746896,0,0,0,0,0,0,"2024-12-02","PR-F-4106902-13215-20241129","13215 - Tempestade Local/Convectiva - Vendaval","Registro",108,13215,2024
5001904,1374.4000000000033,"BATAGUASSU","MS",19825,0,0,0,0,0,0,"2024-12-03","MS-F-5001904-12300-20241129","12300 - Alagamentos","Registro",0,12300,2024
1508084,384.59999999999957,"TUCUMA","PA",33651,0,0,0,0,2,0,"2024-12-02","PA-F-1508084-12300-20241127","12300 - Alagamentos","Registro",8,12300,2024
5100201,1851.0000000000048,"ÁGUA BOA","MT",20844,0,0,0,0,4,0,"2024-11-27","MT-F-5100201-12300-20241125","12300 - Alagamentos","Registro",0,12300,2024
3161700,1355.4000000000049,"SAO GONCALO DO ABAETE","MG",6252,0,0,0,0,0,0,"2024-11-26","MG-F-3161700-12300-20241122","12300 - Alagamentos","Registro",0,12300,2024
3205069,1489.4000000000085,"VENDA NOVA DO IMIGRANTE","ES",20468,0,0,0,7,1,0,"2024-11-22","ES-F-3205069-13214-20241121","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
3106200,5699.399999999939,"BELO HORIZONTE","MG",2375444,0,0,0,0,0,0,"2024-11-22","MG-F-3106200-24200-20241113","24200 - Rompimento/colapso de barragens","Registro",2375444,24200,2024
5004700,1051.600000000001,"IVINHEMA","MS",22355,0,0,0,0,0,0,"2024-11-12","MS-F-5004700-13215-20241107","13215 - Tempestade Local/Convectiva - Vendaval","Registro",0,13215,2024
4204202,2097.8000000000043,"CHAPECO","SC",183561,0,0,0,0,0,0,"2024-11-08","SC-F-4204202-12300-20241107","12300 - Alagamentos","Registro",0,12300,2024
4108502,1815.4000000000076,"GENERAL CARNEIRO","PR",13667,1,0,0,0,270,0,"2024-11-13","PR-F-4108502-12100-20241107","12100 - Inundações","Não reconhecido",4100,12100,2024
5002159,964.600000000003,"BODOQUENA","MS",7986,0,0,0,0,14,0,"2024-11-04","MS-F-5002159-12200-20241103","12200 - Enxurradas","Registro",26,12200,2024
5003306,961.6000000000021,"COXIM","MS",32180,0,0,0,1,3,0,"2024-11-04","MS-F-5003306-13212-20241102","13212 - Tempestade Local/Convectiva - Tempestade de Raios","Registro",0,13212,2024
3200300,1626.000000000007,"ALFREDO CHAVES","ES",13960,0,0,0,0,0,0,"2024-10-30","ES-F-3200300-13214-20241029","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
3304607,1106.0000000000048,"SANTA MARIA MADALENA","RJ",10321,0,0,0,0,10,0,"2024-11-14","RJ-F-3304607-11321-20241028","11321 - Deslizamentos","Registro",0,11321,2024
3128006,1407.800000000005,"GUANHAES","MG",31266,0,0,0,0,0,0,"2024-10-29","MG-F-3128006-13214-20241028","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
3170107,1508.000000000005,"UBERABA","MG",296000,0,0,0,0,100,0,"2024-10-29","MG-F-3170107-13214-20241026","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",337736,13214,2024
3136702,1600.6000000000085,"JUIZ DE FORA","MG",517872,0,0,0,0,0,0,"2024-10-28","MG-F-3136702-13214-20241026","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
3301702,1595.4000000000115,"DUQUE DE CAXIAS","RJ",855046,0,0,0,0,0,0,"2024-10-25","RJ-F-3301702-13215-20241024","13215 - Tempestade Local/Convectiva - Vendaval","Registro",0,13215,2024
4219002,2081.80000000001,"URUSSANGA","SC",20222,0,0,0,0,5,0,"2024-10-25","SC-F-4219002-13215-20241024","13215 - Tempestade Local/Convectiva - Vendaval","Registro",80,13215,2024
4307005,2246.2000000000053,"ERECHIM","RS",96105,0,2,0,0,0,0,"2024-10-29","RS-F-4307005-13215-20241024","13215 - Tempestade Local/Convectiva - Vendaval","Registro",0,13215,2024
2611101,64.40000000000002,"PETROLINA","PE",294081,0,0,0,0,0,0,"2024-10-23","PE-F-2611101-13214-20241018","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
1200344,,"MANOEL URBANO","AC",7989,0,0,0,3,0,0,"2024-10-14","AC-F-1200344-13215-20241013","13215 - Tempestade Local/Convectiva - Vendaval","Registro",20,13215,2024
4321600,1179.0000000000066,"TRAMANDAI","RS",41655,0,0,0,0,0,0,"2024-10-14","RS-F-4321600-13215-20241011","13215 - Tempestade Local/Convectiva - Vendaval","Registro",6,13215,2024
4208203,2104.4000000000096,"ITAJAI","SC",183388,0,0,0,0,0,0,"2024-10-11","SC-F-4208203-13214-20241010","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",20,13214,2024
1302504,1048.4000000000026,"MANACAPURU","AM",85144,0,6,4,7,0,2,"2024-10-10","AM-F-1302504-11420-20241009","11420 - Erosão de Margem Fluvial","Reconhecido",593,11420,2024
