"state","municipality","register","COBRADE","population","deaths","injured","sick","displaced","homeless","disapeared","other affecteds","Year"
"MG","Pedra Bonita","2024-12-20","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6673,0,0,0,4,0,0,70,2024
"MG","Rio Piracicaba","2024-12-21","13213 - Tempestade Local/Convectiva - Granizo",14167,0,1,0,3,500,0,0,2024
"MG","Coroaci","2024-12-24","13214 - Tempestade Local/Convectiva - Chuvas Intensas",10274,0,0,0,0,2,0,138,2024
"MG","Santo Antônio do Aventureiro","2024-12-22","13214 - Tempestade Local/Convectiva - Chuvas Intensas",3534,0,0,0,0,660,0,2834,2024
"ES","Baixo Guandu","2024-12-18","13215 - Tempestade Local/Convectiva - Vendaval",29086,0,0,0,0,0,0,0,2024
"PA","Rondon do Pará","2024-12-18","13214 - Tempestade Local/Convectiva - Chuvas Intensas",46974,0,0,0,0,0,0,5800,2024
"MG","Ipatinga","2024-12-18","13214 - Tempestade Local/Convectiva - Chuvas Intensas",239177,0,0,0,0,0,0,0,2024
"MG","Coronel Fabriciano","2024-12-20","13214 - Tempestade Local/Convectiva - Chuvas Intensas",103797,0,0,0,51,2055,0,3202,2024
"MS","Sonora","2024-12-18","12200 - Enxurradas",14867,0,0,0,0,0,0,0,2024
"MG","Leopoldina","2024-12-20","13213 - Tempestade Local/Convectiva - Granizo",51136,0,0,0,0,51,0,0,2024
"MG","Tocantins","2024-12-19","13215 - Tempestade Local/Convectiva - Vendaval",15839,0,0,0,0,60,0,8400,2024
"ES","Mimoso do Sul","2024-12-18","13213 - Tempestade Local/Convectiva - Granizo",25898,0,0,0,0,0,0,0,2024
"MG","Luminárias","2024-12-18","13213 - Tempestade Local/Convectiva - Granizo",5425,0,0,0,0,0,0,0,2024
"MG","Antônio Carlos","2024-12-18","13213 - Tempestade Local/Convectiva - Granizo",11112,0,0,0,0,18,0,11094,2024
"MG","Sete Lagoas","2024-12-25","12300 - Alagamentos",214071,0,0,0,14,23,0,0,2024
"MG","Santana do Jacaré","2024-12-17","13214 - Tempestade Local/Convectiva - Chuvas Intensas",4613,0,0,0,0,0,0,0,2024
"MG","Juiz de Fora","2024-12-18","13215 - Tempestade Local/Convectiva - Vendaval",517872,0,0,0,0,0,0,0,2024
"RS","Barra do Rio Azul","2024-12-17","13214 - Tempestade Local/Convectiva - Chuvas Intensas",2003,0,0,0,0,40,0,1696,2024
"SC","Irineópolis","2024-12-20","13214 - Tempestade Local/Convectiva - Chuvas Intensas",10450,0,0,0,0,4,0,0,2024
"RS","Arroio Grande","2024-12-18","13111 - Ciclones - Ventos Costeiros (Mobilidade de Dunas)",18469,0,0,0,0,10,0,30,2024
"SP","Tanabi","2024-12-17","12200 - Enxurradas",24055,0,0,0,0,0,0,0,2024
"MG","São Gonçalo do Abaeté","2024-12-18","13215 - Tempestade Local/Convectiva - Vendaval",6252,0,0,0,0,0,0,0,2024
"MS","Bataguassu","2024-12-17","12300 - Alagamentos",19825,0,0,0,0,0,0,0,2024
"MS","Nioaque","2024-12-14","13214 - Tempestade Local/Convectiva - Chuvas Intensas",14396,0,0,0,0,0,0,0,2024
"PA","Oriximiná","2024-12-17","13214 - Tempestade Local/Convectiva - Chuvas Intensas",62963,0,0,0,0,0,0,0,2024
"PR","Curitiba","2024-12-19","11321 - Deslizamentos",1746896,0,0,0,5,0,0,12,2024
"PA","Prainha","2024-12-12","13214 - Tempestade Local/Convectiva - Chuvas Intensas",29265,0,0,0,0,0,0,0,2024
