country,state,municipality,municipality - state,geocode,feature_id,class,class_level_0,class_level_1,class_level_2,class_level_3,class_level_4,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brasil,Tocantins,ALVORADA,Alvorada - TO,1700707,316,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,8994.93865032365,8653.83749700346,8308.82502976707,8215.25074617332,8155.76429119899,8175.71210676291,8161.2102376833,8058.36586436171,8004.28598794573,7949.2603464602,8644.26542509791,9093.71763017596,9125.07737496365,9560.50307326657,9598.38714435434,10261.8494454159,10309.9038812253,10236.9853032223,10541.5571995541,10954.116117303,10959.6236010616,11162.7158038997,11312.4853564327,11499.7357919247,11736.1475425897,11979.5443584649,11998.0637147821,11997.8987525448,12054.045092413,11917.9386777523,11687.8388381589,11772.5207731929,11789.2384585323,11847.0827072994,11825.5228078182,11872.5109254025,11832.3419689998,11834.1789825315,11828.4267169126
Brasil,Tocantins,CACHOEIRINHA,Cachoeirinha - TO,1703826,340,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,10676.3623648743,10545.4910121279,10737.4361736695,10761.0854410524,10656.4436390687,10723.0285971497,10830.686861963,10716.8831235474,10862.9565328552,10787.5757753481,10150.597774817,10033.7840112735,9839.61853028583,9414.12549307278,9243.42387272985,9102.77768413119,8695.70683862331,8699.36276464257,8667.00301765158,8635.35007374902,8566.98150595721,8419.84128792122,8329.15728110981,8392.44954783937,8323.1898723512,8274.3818901612,8242.55469144891,8185.74677573857,7998.42740649415,7827.45925430928,7697.83189386602,8149.95876107199,8205.79084495865,8223.57034224868,8330.87895575576,8167.476312488,8086.48254118681,7962.55087926664,7745.09123115243
Brasil,Tocantins,LAJEADO,Lajeado - TO,1712009,379,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,9218.91388922092,9210.45352651949,9156.7009841977,9040.21496121806,8926.72299303578,8924.51907877189,8933.23994473251,8841.8650493163,8900.80908420401,8808.36517254021,8844.30665557244,8829.50735781848,8747.47967552483,8780.08057977904,8780.88781719965,8695.86294309682,8779.39354700314,8561.94144288329,8631.82100105589,8608.20683740844,8491.37279630115,8431.72701116938,8478.60887421878,8397.0146513793,8384.3314307128,8357.01703536378,8275.51047886349,8362.65535468751,8348.91033438717,8370.76247756344,8535.88757804548,8547.0713951109,8548.66004400616,8528.30478508892,8497.81360377188,8457.19182410874,8451.81676573469,8534.28745387562,8655.2665610046
Brasil,Pernambuco,CACHOEIRINHA,Cachoeirinha - PE,2603108,1498,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,23.7009973754883,19.1905723571777,8.75448676147461,4.86354518432617,3.62551134643555,1.3264167175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasil,Rio Grande do Sul,ALVORADA,Alvorada - RS,4300604,4620,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,963.505922814934,963.816990155022,985.488357940668,1067.06139606325,1121.44019126589,1132.4706352112,1141.79618638307,1198.42518145754,1174.02625494997,1198.33070232546,1207.42242674562,1218.8491895447,1170.37679683229,1192.44058925172,1186.46073862306,1254.05862421876,1230.68986520388,1244.98538143312,1251.04336960451,1274.34914301149,1317.93036480712,1374.47724564818,1406.32731551514,1467.07873866572,1477.40632468257,1421.77467701411,1431.40807426753,1398.15811217036,1367.16406268918,1349.22151690063,1375.2469901672,1413.63447962642,1412.6256912292,1467.7828320373,1476.71473633419,1534.58839935295,1533.57720427238,1650.49814755853,1657.11202087397
Brasil,Rio Grande do Sul,BAGÉ,Bagé - RS,4301602,4638,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,44464.1484577847,44415.2962747525,43950.5121034389,45575.1929789275,46304.9962691067,48881.2558770548,50703.68623162,50700.6789520054,50465.6888415857,49003.7816563748,48181.6707582054,47670.5811467916,49131.3642435444,49101.9708982989,50794.3585157627,50678.1225609884,51859.8519228166,53006.2341877257,52593.4390343158,52617.7788807747,53558.4150504598,53703.9172636617,54034.2513208702,54089.3754995138,53987.936728097,52966.4055516811,53135.5612738915,55307.1721578869,54956.6273812479,55854.8254330284,55612.2934402625,57639.0305397699,59133.3293821876,59406.3189387488,59405.0958951554,59909.6629818073,59710.2599924144,59415.2412420724,57596.593166864
Brasil,Rio Grande do Sul,CACHOEIRINHA,Cachoeirinha - RS,4303103,4670,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,842.805258007817,841.794870617681,848.402862915045,866.423499676523,855.293945117194,863.841678588877,857.46411038209,879.463130322276,872.932027172862,885.295014666757,899.137609313972,920.135439581307,900.313254937754,908.788926208506,879.715460803232,902.418166784677,840.603651934822,834.382613110359,852.348906555186,858.643712152109,876.288595281992,864.630536334237,849.004874932869,886.175649816902,887.888791058357,893.100909783942,912.150650903327,892.48086403199,853.832803393562,828.175391607671,840.617402520758,885.631417462166,887.030455505378,901.953662341319,890.911848651133,923.560771948253,915.083375488292,958.929640991222,986.921865399182
Brasil,Rio Grande do Sul,CANOAS,Canoas - RS,4304606,4688,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,1575.45496492921,1581.44024341432,1615.80657117311,1779.3794933838,1835.515255365,1877.63281771851,1869.62651751098,1942.47661887207,1943.64533566285,1964.86625007935,2042.68615617067,2037.70638247681,1865.95852225953,1875.75140739748,1841.85699107056,1985.91986612549,1917.88304692994,1900.05698058472,1847.18730620119,1795.64116320802,1817.70572794191,1818.39370947267,1805.4773085022,1805.1633446045,1801.27846586914,1775.16027954102,1850.63573811036,1861.12410708009,1851.16824417116,1807.00568189699,1799.92176591798,1837.07865819703,1825.10278060304,1880.14907639773,1902.7736077637,1951.91114027712,1935.28102504884,1981.62093677369,1968.48526473391
Brasil,Rio Grande do Sul,CRUZ ALTA,Cruz Alta - RS,4306106,4733,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,13119.5046282353,13111.0846800786,13141.5955378178,13129.7806753667,13199.499502039,12847.7986151859,12919.0267685672,13128.8767151981,12953.9464459842,12538.9709524112,11738.8307866031,11572.3113406376,11484.6632607181,11494.9436600039,11596.6422074649,11590.8337004459,11616.9601678898,11681.7756198978,11451.7459802738,11307.2225038394,11201.1893300418,11118.0530206058,11004.874246619,11227.0965969913,11456.3230449588,11568.923626752,11584.9661143619,11505.6799525699,11524.3178416263,11553.6904137882,11605.5875845584,11660.1225942325,11626.1041579227,11795.8427320071,11896.4310508121,12407.0265367801,12394.7801992191,12610.4292766116,12904.5999718753
Brasil,Rio Grande do Sul,ERECHIM,Erechim - RS,4307005,4756,3,Natural,1. Forest,1.1. Forest Formation,1.1. Forest Formation,1.1. Forest Formation,11372.0499010375,11360.8491730284,11394.7215868407,11388.6191419799,11380.9364851684,11353.7887726073,11272.6331610473,11202.6939563963,11265.4017054929,11164.5807550841,11204.858954077,11098.6617981383,11041.9199012084,11014.6599688414,10966.5571999144,10980.4435010802,11064.4759383787,11011.0164454588,10949.6006704528,10894.7195956725,10831.1821357909,10774.2287851561,10867.4668765197,10917.3520216247,10888.4278197937,10846.8255452209,10807.8944671081,10767.074073761,10630.1800241027,10463.1766077087,10437.1720056027,10468.193668597,10462.4375366025,10388.4390932247,10265.4877366088,10281.1016009459,10220.7788828735,10214.6172040831,10211.9932871093
